seriali	wti_adY12	wti_chY12	wtn_adY12	wtn_chY12	wti_adY1216	wti_adultY1	wti_childY1	wtn_adultY1	wtn_childY1	wti_adY1_16	wti_adultY2	wti_childY2	wtn_adultY2	wtn_childY2	wti_adY2_16	wti_adY123	wti_chY123	wtn_adY123	wtn_chY123	wti_adY12316	wtb_adY123	wtb_chy123
10101032	0	1.87137063540865	0	1.66564664717802	0	0	2.40701313037625	0	2.33837661543415	0	0	0	0	0	0	0	1.73495055443251	0	1.62789909001628	0	0	1.38713735531282
10101042	0	1.5129857432506	0	1.49164443021116	0	0	1.61525366898715	0	1.77854510814594	0	0	0	0	0	0	0	1.51002151647963	0	1.59018844114643	0	0	0
10101111	.726716793715574	0	0	0	.857317	.844837459702102	0	0	0	.905957	0	0	0	0	0	.823174611595122	0	0	0	.9338162	0	0
10101151	1.08071125958582	0	1.12598487396644	0	1.087387	1.1040768041501	0	1.49352604956668	0	1.14382	0	0	0	0	0	1.16217607280445	0	1.10831278580946	0	1.178533	0	0
10101161	.47057997401591	0	0	0	.4699146	.474544713763848	0	0	0	.4808367	0	0	0	0	0	.411365722170114	0	0	0	.4140227	0	0
10101242	0	.506636562936683	0	.593168256503093	0	0	.624210034880259	0	1.00742656228789	0	0	0	0	0	0	0	.506094117714799	0	.579242579849969	0	0	0
10101261	.375103813514755	0	.354335771338319	0	.3711181	.409063954748161	0	.52898827122308	0	.4098944	0	0	0	0	0	.441938345556232	0	.376662000171149	0	.4450157	.379350220540673	0
10102011	1.25734945996549	0	1.53565260892976	0	1.42487	1.48424162302927	0	1.88489994686614	0	1.58224	0	0	0	0	0	1.07790827086224	0	1.33810916312226	0	1.221003	1.59121029934557	0
10102012	0	2.29799551980256	0	2.55941662508658	0	0	2.4898546300002	0	2.81175737968704	0	0	0	0	0	0	0	1.90877981822253	0	2.06854789918756	0	0	2.12334818737358
10102032	0	.747712448636593	0	0	0	0	.842272704642072	0	0	0	0	0	0	0	0	0	.651381616659336	0	0	0	0	0
10102042	0	1.42232995166768	0	0	0	0	1.32537215753781	0	0	0	0	0	0	0	0	0	1.15045413481855	0	0	0	0	0
10102071	1.0315540689585	0	1.09142680464935	0	1.075413	1.13817150047321	0	1.15383792579674	0	1.229714	0	0	0	0	0	.928876074804777	0	.978451196389938	0	.9529045	1.0301095315492	0
10102161	.823241075058215	0	.927408324336145	0	.9973301	.965302546091955	0	1.11819666498196	0	1.118111	0	0	0	0	0	.841560602619145	0	.889658471963451	0	.9679067	1.04970014056624	0
10102162	0	.711164889969289	0	.856084680890637	0	0	.662685850320037	0	.901381567868514	0	0	0	0	0	0	0	.575227129414533	0	.574043069836987	0	0	0
10102202	0	1.53199701320171	0	1.56360222441249	0	0	1.6599030866668	0	1.69529802698129	0	0	0	0	0	0	0	1.27252029218341	0	1.26547875255691	0	0	0
10102251	1.42905556776053	0	0	0	1.474792	1.62011787289262	0	0	0	1.684612	0	0	0	0	0	1.489689754301	0	0	0	1.518586	0	0
10102261	1.23486150486678	0	0	0	1.495995	1.4479532995126	0	0	0	1.677167	0	0	0	0	0	1.26234090392872	0	0	0	1.45186	0	0
10102262	0	1.49542472554409	0	0	0	0	1.68454495238641	0	0	0	0	0	0	0	0	0	1.3027627372766	0	0	0	0	0
10103071	1.93393807011795	0	1.76743211813343	0	2.078141	2.16862513217781	0	2.06945412111656	0	2.291581	0	0	0	0	0	1.35730140055085	0	1.38491456363713	0	1.443235	1.34373045077282	0
10103092	0	1.5211042364256	0	1.23173174258328	0	0	1.72262143920291	0	1.06256755301231	0	0	0	0	0	0	0	1.47569788522981	0	1.22913766432199	0	0	.815224050599074
10103111	.768067907785945	0	.772085756345156	0	.6645151	.728421986707937	0	.76459889289769	0	.684247	0	0	0	0	0	.605560180679072	0	.611708738368314	0	.5335585	.67653823078022	0
10103112	0	.989121832247573	0	.852517530024346	0	0	.81778892553992	0	1.07530045456639	0	0	0	0	0	0	0	1.04900485012841	0	.942450627339111	0	0	0
10103132	0	1.22804509368627	0	0	0	0	1.34562871876524	0	0	0	0	0	0	0	0	0	1.19895725273913	0	0	0	0	0
10103161	.644646023372651	0	.611541109802445	0	.6927136	.722875159531566	0	.82241101733781	0	.7638605	0	0	0	0	0	.452433592562509	0	.477756127584581	0	.4810784	0	0
10103162	0	1.42159495112217	0	1.15504555230638	0	0	1.36991785943087	0	.976815366094593	0	0	0	0	0	0	0	1.4319668160632	0	1.18311796952967	0	0	0
10103181	1.53613581557189	0	1.54641231720759	0	1.32903	1.45684351152669	0	1.21639003405188	0	1.368494	0	0	0	0	0	1.21112036135814	0	1.20530334841365	0	1.067117	1.30983523910259	0
10103192	0	.97560160025037	0	.825268990006125	0	0	.896582311202553	0	.882261867524849	0	0	0	0	0	0	0	1.04614467153478	0	.894243699789511	0	0	0
10103211	.549559164898334	0	.501459224517179	0	.6645151	.587253064190142	0	.45564231744942	0	.684247	0	0	0	0	0	.452801393355221	0	.430916116452899	0	.5335585	.442798357627726	0
10103212	0	1.22804509368627	0	1.00001471917712	0	0	1.34562871876524	0	.97159141198711	0	0	0	0	0	0	0	1.19895725273913	0	1.04489253410249	0	0	1.16169137147561
10103272	0	.97560160025037	0	.923560383854333	0	0	.896582311202553	0	1.31917757778427	0	0	0	0	0	0	0	1.04614467153478	0	.978435289545439	0	0	0
