serialp	seriali	serialh	surveyyr	country	Outcome	IOut	ScrType	pgrid	adnum1	ChNum	DMHSize	Sex	age	MarSt2	LiveW2	WrkStat	PTWork	EverWk	natidgby5	natidniy5	natiduky5	ethgrp2	ethgrp5	RelHRP	Rel01	Rel02	Rel03	Rel04	Rel05	Rel06	Rel07	Rel08	Rel09	area	addnum
701052303	-1	7010523	7	101	110	-1	2	3	-1	4	4	1	13	-1	-1	1	-1	-1	1	-1	1	1	1	9	9	14	0	14	-1	-1	-1	-1	-1	70105	23
701052304	70105232	7010523	7	101	110	110	2	4	-1	4	4	1	8	-1	-1	1	-1	-1	1	-1	1	1	1	9	9	14	14	0	-1	-1	-1	-1	-1	70105	23
701052701	-1	7010527	7	101	110	-1	2	1	-1	4	4	2	40	2	-1	2	-1	-1	6	-1	6	1	1	1	0	1	4	4	-1	-1	-1	-1	-1	70105	27
701052702	-1	7010527	7	101	110	-1	2	2	-1	4	4	1	41	2	-1	2	-1	-1	5	-1	5	1	1	0	1	0	4	4	-1	-1	-1	-1	-1	70105	27
701052703	-1	7010527	7	101	110	-1	2	3	-1	4	4	1	6	-1	-1	1	-1	-1	5	-1	5	1	1	9	9	9	0	14	-1	-1	-1	-1	-1	70105	27
701052704	70105272	7010527	7	101	110	110	2	4	-1	4	4	1	2	-1	-1	3	-1	-1	5	-1	5	1	1	9	9	9	14	0	-1	-1	-1	-1	-1	70105	27
701060301	-1	7010603	7	101	110	-1	1	1	2	-1	3	2	33	1	1	2	-1	-1	5	-1	5	1	1	3	0	3	4	-1	-1	-1	-1	-1	-1	70106	3
701060302	70106031	7010603	7	101	110	110	1	2	2	-1	3	1	40	5	1	2	-1	-1	5	-1	5	1	1	0	3	0	4	-1	-1	-1	-1	-1	-1	70106	3
701060303	-1	7010603	7	101	110	-1	1	3	2	-1	3	1	1	-1	-1	3	-1	-1	1	-1	1	1	1	9	9	9	0	-1	-1	-1	-1	-1	-1	70106	3
701061801	70106181	7010618	7	101	110	110	1	1	1	-1	1	1	38	1	-1	2	-1	-1	6	-1	6	1	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	70106	18
701061901	70106191	7010619	7	101	110	110	1	1	1	-1	3	2	49	6	2	3	-1	2	6	-1	6	2	4	0	0	4	4	-1	-1	-1	-1	-1	-1	70106	19
701061902	-1	7010619	7	101	110	-1	1	2	1	-1	3	1	24	1	2	2	-1	-1	6	-1	6	2	4	9	9	0	14	-1	-1	-1	-1	-1	-1	70106	19
701061903	-1	7010619	7	101	110	-1	1	3	1	-1	3	1	20	1	2	2	-1	-1	6	-1	6	2	4	9	9	14	0	-1	-1	-1	-1	-1	-1	70106	19
701062101	-1	7010621	7	101	110	-1	2	1	-1	3	3	2	37	2	-1	2	-1	-1	5	-1	5	1	1	0	0	1	4	-1	-1	-1	-1	-1	-1	70106	21
701062102	-1	7010621	7	101	110	-1	2	2	-1	3	3	1	32	2	-1	2	-1	-1	1	-1	1	1	1	1	1	0	4	-1	-1	-1	-1	-1	-1	70106	21
701062103	70106212	7010621	7	101	110	110	2	3	-1	3	3	2	9	-1	-1	1	-1	-1	1	-1	1	1	1	9	9	9	0	-1	-1	-1	-1	-1	-1	70106	21
701062401	70106241	7010624	7	101	110	110	1	1	1	5	6	2	37	2	-1	3	-1	2	6	-1	6	2	4	1	0	1	4	4	4	4	-1	-1	-1	70106	24
701062402	-1	7010624	7	101	110	-1	1	2	1	5	6	1	38	2	-1	2	-1	-1	6	-1	6	2	4	0	1	0	4	4	4	4	-1	-1	-1	70106	24
701062403	-1	7010624	7	101	110	-1	1	3	1	5	6	1	12	-1	-1	1	-1	-1	5	-1	5	2	4	9	9	9	0	14	14	14	-1	-1	-1	70106	24
701062404	-1	7010624	7	101	110	-1	1	4	1	5	6	1	10	-1	-1	1	-1	-1	5	-1	5	2	4	9	9	9	14	0	14	14	-1	-1	-1	70106	24
701062405	70106242	7010624	7	101	110	110	1	5	1	5	6	2	8	-1	-1	1	-1	-1	5	-1	5	2	4	9	9	9	14	14	0	14	-1	-1	-1	70106	24
701062406	-1	7010624	7	101	110	-1	1	6	1	5	6	1	3	-1	-1	3	-1	-1	5	-1	5	2	4	9	9	9	14	14	14	0	-1	-1	-1	70106	24
701062501	-1	7010625	7	101	110	-1	1	1	2	-1	2	2	85	2	-1	3	-1	1	1	-1	1	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	70106	25
701062502	70106251	7010625	7	101	110	110	1	2	2	-1	2	1	91	2	-1	3	-1	1	1	-1	1	1	1	0	1	0	-1	-1	-1	-1	-1	-1	-1	70106	25
701070301	70107031	7010703	7	101	110	110	1	1	1	-1	5	2	50	2	-1	2	-1	-1	1	-1	1	1	1	1	0	1	8	4	4	-1	-1	-1	-1	70107	3
701070302	-1	7010703	7	101	110	-1	1	2	1	-1	5	1	51	2	-1	2	-1	-1	1	-1	1	1	1	0	1	0	8	4	4	-1	-1	-1	-1	70107	3
701070303	-1	7010703	7	101	110	-1	1	3	1	-1	5	1	26	2	-1	2	-1	-1	1	-1	1	1	1	13	13	13	0	1	19	-1	-1	-1	-1	70107	3
701070304	-1	7010703	7	101	110	-1	1	4	1	-1	5	2	26	2	-1	3	-1	1	1	-1	1	1	1	9	9	9	1	0	14	-1	-1	-1	-1	70107	3
701070305	-1	7010703	7	101	110	-1	1	5	1	-1	5	2	21	1	2	2	-1	-1	1	-1	1	1	1	9	9	9	19	14	0	-1	-1	-1	-1	70107	3
701070601	70107061	7010706	7	101	110	110	1	1	1	3	5	1	44	2	-1	2	-1	-1	1	-1	1	1	1	0	0	1	4	4	4	-1	-1	-1	-1	70107	6
701070602	-1	7010706	7	101	110	-1	1	2	1	3	5	2	40	2	-1	2	-1	-1	1	-1	1	1	1	1	1	0	4	4	4	-1	-1	-1	-1	70107	6
701070603	70107062	7010706	7	101	110	110	1	3	1	3	5	2	6	-1	-1	1	-1	-1	1	-1	1	1	1	9	9	9	0	14	14	-1	-1	-1	-1	70107	6
701070604	-1	7010706	7	101	110	-1	1	4	1	3	5	2	15	-1	-1	1	-1	-1	1	-1	1	1	1	9	9	9	14	0	14	-1	-1	-1	-1	70107	6
701070605	-1	7010706	7	101	110	-1	1	5	1	3	5	2	17	1	2	1	2	2	1	-1	1	1	1	9	9	9	14	14	0	-1	-1	-1	-1	70107	6
701070701	-1	7010707	7	101	110	-1	2	1	-1	3	3	2	52	2	-1	2	-1	-1	1	-1	1	1	1	0	0	1	4	-1	-1	-1	-1	-1	-1	70107	7
701070702	-1	7010707	7	101	110	-1	2	2	-1	3	3	1	39	2	-1	2	-1	-1	1	-1	1	1	1	1	1	0	4	-1	-1	-1	-1	-1	-1	70107	7
701070703	70107072	7010707	7	101	110	110	2	3	-1	3	3	1	8	-1	-1	1	-1	-1	1	-1	1	1	1	9	9	9	0	-1	-1	-1	-1	-1	-1	70107	7
701071101	-1	7010711	7	101	110	-1	2	1	-1	3	4	2	37	2	-1	2	-1	-1	1	-1	1	1	1	1	0	1	4	14	-1	-1	-1	-1	-1	70107	11
701071102	-1	7010711	7	101	110	-1	2	2	-1	3	4	1	38	2	-1	2	-1	-1	1	-1	1	1	1	0	1	0	4	4	-1	-1	-1	-1	-1	70107	11
701071103	70107112	7010711	7	101	110	110	2	3	-1	3	4	2	16	1	2	1	1	-1	1	-1	1	1	1	9	9	9	0	14	-1	-1	-1	-1	-1	70107	11
701071104	-1	7010711	7	101	110	-1	2	4	-1	3	4	2	6	-1	-1	1	-1	-1	1	-1	1	1	1	9	14	9	14	0	-1	-1	-1	-1	-1	70107	11
701072101	-1	7010721	7	101	110	-1	2	1	-1	2	3	2	41	4	2	2	-1	-1	6	-1	6	1	1	0	0	4	4	-1	-1	-1	-1	-1	-1	70107	21
701072102	70107212	7010721	7	101	110	110	2	2	-1	2	3	1	7	-1	-1	1	-1	-1	6	-1	6	1	1	9	9	0	14	-1	-1	-1	-1	-1	-1	70107	21
701072103	-1	7010721	7	101	110	-1	2	3	-1	2	3	2	18	1	2	1	2	1	6	-1	6	1	1	9	9	14	0	-1	-1	-1	-1	-1	-1	70107	21
701072701	-1	7010727	7	101	110	-1	2	1	-1	4	4	2	31	2	-1	2	-1	-1	1	-1	1	1	1	0	0	1	4	4	-1	-1	-1	-1	-1	70107	27
701072702	-1	7010727	7	101	110	-1	2	2	-1	4	4	1	30	2	-1	2	-1	-1	1	-1	1	1	1	1	1	0	4	4	-1	-1	-1	-1	-1	70107	27
701072703	-1	7010727	7	101	110	-1	2	3	-1	4	4	1	4	-1	-1	3	-1	-1	1	-1	1	1	1	9	9	9	0	14	-1	-1	-1	-1	-1	70107	27
701072704	70107272	7010727	7	101	110	110	2	4	-1	4	4	2	9	-1	-1	1	-1	-1	1	-1	1	1	1	9	9	9	14	0	-1	-1	-1	-1	-1	70107	27
701080501	70108051	7010805	7	101	110	110	1	1	1	-1	2	2	78	2	-1	3	-1	1	1	-1	1	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	70108	5
701080502	-1	7010805	7	101	110	-1	1	2	1	-1	2	1	78	2	-1	3	-1	1	1	-1	1	1	1	0	1	0	-1	-1	-1	-1	-1	-1	-1	70108	5
701081201	70108121	7010812	7	101	110	110	1	1	1	3	3	2	41	2	-1	2	-1	-1	1	-1	1	1	1	0	0	1	4	-1	-1	-1	-1	-1	-1	70108	12
701081202	-1	7010812	7	101	110	-1	1	2	1	3	3	1	40	2	-1	2	-1	-1	1	-1	1	1	1	1	1	0	7	-1	-1	-1	-1	-1	-1	70108	12
701081203	70108122	7010812	7	101	110	110	1	3	1	3	3	1	16	1	2	1	2	2	1	-1	1	1	1	9	9	12	0	-1	-1	-1	-1	-1	-1	70108	12
701081601	-1	7010816	7	101	110	-1	2	1	-1	5	5	2	43	2	-1	2	-1	-1	5	-1	5	1	1	0	0	1	4	4	4	-1	-1	-1	-1	70108	16
701081602	-1	7010816	7	101	110	-1	2	2	-1	5	5	1	57	2	-1	2	-1	-1	5	-1	5	1	1	1	1	0	4	4	4	-1	-1	-1	-1	70108	16
701081603	-1	7010816	7	101	110	-1	2	3	-1	5	5	1	9	-1	-1	1	-1	-1	5	-1	5	1	1	9	9	9	0	14	14	-1	-1	-1	-1	70108	16
701081604	-1	7010816	7	101	110	-1	2	4	-1	5	5	2	7	-1	-1	1	-1	-1	5	-1	5	1	1	9	9	9	14	0	14	-1	-1	-1	-1	70108	16
701081605	70108162	7010816	7	101	110	110	2	5	-1	5	5	1	4	-1	-1	3	-1	-1	5	-1	5	1	1	9	9	9	14	14	0	-1	-1	-1	-1	70108	16
701081901	70108191	7010819	7	101	110	110	1	1	1	-1	2	1	32	2	-1	3	-1	1	1	-1	1	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	70108	19
701081902	-1	7010819	7	101	110	-1	1	2	1	-1	2	2	23	2	-1	3	-1	2	1	-1	1	1	1	0	1	0	-1	-1	-1	-1	-1	-1	-1	70108	19
701082401	-1	7010824	7	101	110	-1	1	1	2	4	4	2	49	2	-1	3	-1	1	1	-1	1	1	1	0	0	1	4	4	-1	-1	-1	-1	-1	70108	24
701082402	70108241	7010824	7	101	110	110	1	2	2	4	4	1	52	2	-1	3	-1	1	1	-1	1	1	1	1	1	0	4	4	-1	-1	-1	-1	-1	70108	24
701082403	-1	7010824	7	101	110	-1	1	3	2	4	4	1	13	-1	-1	1	-1	-1	1	-1	1	1	1	9	9	9	0	14	-1	-1	-1	-1	-1	70108	24
701082404	70108242	7010824	7	101	110	110	1	4	2	4	4	2	10	-1	-1	1	-1	-1	1	-1	1	1	1	9	9	9	14	0	-1	-1	-1	-1	-1	70108	24
701090301	70109031	7010903	7	101	110	110	1	1	1	-1	1	2	44	1	-1	2	-1	-1	2	-1	2	1	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	70109	3
701090501	70109051	7010905	7	101	110	110	1	1	1	2	2	2	49	5	2	1	2	1	5	-1	5	1	1	0	0	4	-1	-1	-1	-1	-1	-1	-1	70109	5
701090502	70109052	7010905	7	101	110	110	1	2	1	2	2	2	16	1	2	1	2	2	5	-1	5	1	1	9	9	0	-1	-1	-1	-1	-1	-1	-1	70109	5
701090801	70109081	7010908	7	101	110	110	1	1	1	6	7	2	38	1	1	3	-1	1	5	-1	5	1	1	3	0	3	4	4	4	4	4	-1	-1	70109	8
701090802	-1	7010908	7	101	110	-1	1	2	1	6	7	1	37	1	1	2	-1	-1	5	-1	5	1	1	0	3	0	4	4	4	4	4	-1	-1	70109	8
701090803	-1	7010908	7	101	110	-1	1	3	1	6	7	1	5	-1	-1	1	-1	-1	5	-1	5	1	1	9	9	9	0	14	14	14	14	-1	-1	70109	8
701090804	-1	7010908	7	101	110	-1	1	4	1	6	7	1	17	1	2	1	2	2	5	-1	5	1	1	9	9	9	14	0	14	14	14	-1	-1	70109	8
701090805	-1	7010908	7	101	110	-1	1	5	1	6	7	2	2	-1	-1	3	-1	-1	5	-1	5	1	1	9	9	9	14	14	0	14	14	-1	-1	70109	8
701090806	70109082	7010908	7	101	110	110	1	6	1	6	7	1	8	-1	-1	1	-1	-1	5	-1	5	1	1	9	9	9	14	14	14	0	14	-1	-1	70109	8
701090807	-1	7010908	7	101	110	-1	1	7	1	6	7	2	12	-1	-1	1	-1	-1	5	-1	5	1	1	9	9	9	14	14	14	14	0	-1	-1	70109	8
701090901	-1	7010909	7	101	110	-1	2	1	-1	2	6	2	46	2	-1	3	-1	1	1	-1	1	1	1	1	0	4	1	4	4	4	-1	-1	-1	70109	9
701090902	70109092	7010909	7	101	110	110	2	2	-1	2	6	2	10	-1	-1	1	-1	-1	1	-1	1	1	1	9	9	0	9	14	14	14	-1	-1	-1	70109	9
701090903	-1	7010909	7	101	110	-1	2	3	-1	2	6	1	45	2	-1	2	-1	-1	1	-1	1	1	1	0	1	4	0	4	4	4	-1	-1	-1	70109	9
701090904	-1	7010909	7	101	110	-1	2	4	-1	2	6	2	13	-1	-1	1	-1	-1	1	-1	1	1	1	9	9	14	9	0	14	14	-1	-1	-1	70109	9
701090905	-1	7010909	7	101	110	-1	2	5	-1	2	6	2	8	-1	-1	1	-1	-1	1	-1	1	1	1	9	9	14	9	14	0	14	-1	-1	-1	70109	9
701090906	-1	7010909	7	101	110	-1	2	6	-1	2	6	1	4	-1	-1	3	-1	-1	1	-1	1	1	1	9	9	14	9	14	14	0	-1	-1	-1	70109	9
701091601	-1	7010916	7	101	110	-1	2	1	-1	2	4	2	50	2	-1	2	-1	-1	1	-1	1	1	1	1	0	4	1	4	-1	-1	-1	-1	-1	70109	16
