serialp	seriali	serialh	surveyyr	country	Outcome	IOut	ScrType	pgrid	adnum1	ChNum	DMHSize	Sex	age	MarSt2	LiveW2	WrkStat	PTWork	EverWk	natidgby5	natidniy5	natiduky5	ethgrp2	ethgrp5	RelHRP	Rel01	Rel02	Rel03	Rel04	Rel05	Rel06	Rel07	Rel08	Rel09	area	addnum
701010301	70101031	7010103	7	101	110	110	1	1	1	-1	3	1	32	2	-1	2	-1	-1	5	-1	5	1	1	0	0	1	4	-1	-1	-1	-1	-1	-1	70101	3
701010302	-1	7010103	7	101	110	-1	1	2	1	-1	3	2	30	2	-1	2	-1	-1	1	-1	1	1	1	1	1	0	4	-1	-1	-1	-1	-1	-1	70101	3
701010303	-1	7010103	7	101	110	-1	1	3	1	-1	3	2	0	-1	-1	3	-1	-1	5	-1	5	1	1	9	9	9	0	-1	-1	-1	-1	-1	-1	70101	3
701010701	-1	7010107	7	101	110	-1	2	1	-1	2	2	2	37	1	2	2	-1	-1	1	-1	1	1	1	0	0	4	-1	-1	-1	-1	-1	-1	-1	70101	7
701010702	70101072	7010107	7	101	110	110	2	2	-1	2	2	2	18	1	2	1	2	2	1	-1	1	1	1	9	9	0	-1	-1	-1	-1	-1	-1	-1	70101	7
701010801	70101081	7010108	7	101	110	110	1	1	1	-1	2	2	84	6	2	3	-1	1	5	-1	5	1	1	0	0	4	-1	-1	-1	-1	-1	-1	-1	70101	8
701010802	-1	7010108	7	101	110	-1	1	2	1	-1	2	1	51	5	2	3	-1	1	5	-1	5	1	1	9	9	0	-1	-1	-1	-1	-1	-1	-1	70101	8
701011501	-1	7010115	7	101	110	-1	2	1	-1	3	4	2	44	1	1	2	-1	-1	5	-1	5	2	2	3	0	3	4	4	-1	-1	-1	-1	-1	70101	15
701011502	-1	7010115	7	101	110	-1	2	2	-1	3	4	1	44	1	1	2	-1	-1	5	-1	5	1	1	0	3	0	4	4	-1	-1	-1	-1	-1	70101	15
701011503	70101152	7010115	7	101	110	110	2	3	-1	3	4	1	10	-1	-1	1	-1	-1	5	-1	5	2	2	9	9	9	0	14	-1	-1	-1	-1	-1	70101	15
701011504	-1	7010115	7	101	110	-1	2	4	-1	3	4	1	8	-1	-1	1	-1	-1	5	-1	5	2	2	9	9	9	14	0	-1	-1	-1	-1	-1	70101	15
701011801	70101181	7010118	7	101	110	110	1	1	1	3	4	1	31	1	1	2	-1	-1	6	-1	6	2	3	0	0	3	4	4	-1	-1	-1	-1	-1	70101	18
701011802	-1	7010118	7	101	110	-1	1	2	1	3	4	2	32	1	1	2	-1	-1	5	-1	5	1	1	3	3	0	4	4	-1	-1	-1	-1	-1	70101	18
701011803	70101182	7010118	7	101	110	110	1	3	1	3	4	2	5	-1	-1	1	-1	-1	5	-1	5	2	2	9	9	9	0	14	-1	-1	-1	-1	-1	70101	18
701011804	-1	7010118	7	101	110	-1	1	4	1	3	4	2	3	-1	-1	3	-1	-1	5	-1	5	2	2	9	9	9	14	0	-1	-1	-1	-1	-1	70101	18
701012401	70101241	7010124	7	101	110	110	1	1	1	-1	1	1	41	1	-1	3	-1	1	1	-1	1	1	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	70101	24
701020301	70102031	7010203	7	101	110	110	1	1	1	-1	2	1	59	2	-1	3	-1	1	1	-1	1	1	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	70102	3
701020302	-1	7010203	7	101	110	-1	1	2	1	-1	2	2	61	2	-1	3	-1	1	1	-1	1	1	1	1	1	0	-1	-1	-1	-1	-1	-1	-1	70102	3
701020601	70102061	7010206	7	101	110	110	1	1	1	-1	1	2	79	6	-1	3	-1	1	1	-1	1	1	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	70102	6
701021201	70102121	7010212	7	101	110	110	1	1	1	-1	3	2	65	2	-1	3	-1	1	1	-1	1	1	1	0	0	1	4	-1	-1	-1	-1	-1	-1	70102	12
701021202	-1	7010212	7	101	110	-1	1	2	1	-1	3	1	68	2	-1	3	-1	1	1	-1	1	1	1	1	1	0	4	-1	-1	-1	-1	-1	-1	70102	12
701021203	-1	7010212	7	101	110	-1	1	3	1	-1	3	1	37	1	2	2	-1	-1	1	-1	1	1	1	9	9	9	0	-1	-1	-1	-1	-1	-1	70102	12
701021901	70102191	7010219	7	101	110	110	1	1	1	3	5	2	41	1	1	3	-1	1	1	-1	1	1	1	3	0	3	4	4	4	-1	-1	-1	-1	70102	19
701021902	-1	7010219	7	101	110	-1	1	2	1	3	5	1	36	1	1	2	-1	-1	1	-1	1	1	1	0	3	0	7	4	4	-1	-1	-1	-1	70102	19
701021903	70102192	7010219	7	101	110	110	1	3	1	3	5	2	17	1	2	1	2	2	1	-1	1	1	1	12	9	12	0	15	15	-1	-1	-1	-1	70102	19
701021904	-1	7010219	7	101	110	-1	1	4	1	3	5	2	12	-1	-1	1	-1	-1	1	-1	1	1	1	9	9	9	15	0	14	-1	-1	-1	-1	70102	19
701021905	-1	7010219	7	101	110	-1	1	5	1	3	5	2	6	-1	-1	1	-1	-1	1	-1	1	1	1	9	9	9	15	14	0	-1	-1	-1	-1	70102	19
701022801	-1	7010228	7	101	110	-1	2	1	-1	3	4	2	32	1	1	2	-1	-1	1	-1	1	1	1	0	0	3	4	4	-1	-1	-1	-1	-1	70102	28
701022802	-1	7010228	7	101	110	-1	2	2	-1	3	4	1	28	1	1	2	-1	-1	1	-1	1	1	1	3	3	0	7	4	-1	-1	-1	-1	-1	70102	28
701022803	70102282	7010228	7	101	110	110	2	3	-1	3	4	2	15	-1	-1	1	-1	-1	1	-1	1	1	1	9	9	12	0	15	-1	-1	-1	-1	-1	70102	28
701022804	-1	7010228	7	101	110	-1	2	4	-1	3	4	1	0	-1	-1	3	-1	-1	1	-1	1	1	1	9	9	9	15	0	-1	-1	-1	-1	-1	70102	28
701030301	70103031	7010303	7	101	110	110	1	1	1	-1	1	2	70	6	-1	3	-1	1	1	-1	1	1	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	70103	3
701030601	70103061	7010306	7	101	110	110	1	1	1	-1	2	1	73	2	-1	3	-1	1	5	-1	5	1	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	70103	6
701030602	-1	7010306	7	101	110	-1	1	2	1	-1	2	2	71	2	-1	3	-1	1	5	-1	5	1	1	1	1	0	-1	-1	-1	-1	-1	-1	-1	70103	6
701031401	-1	7010314	7	101	110	-1	2	1	-1	4	4	1	40	2	-1	2	-1	-1	5	-1	5	1	1	0	0	1	4	4	-1	-1	-1	-1	-1	70103	14
701031402	-1	7010314	7	101	110	-1	2	2	-1	4	4	2	43	2	-1	2	-1	-1	5	-1	5	1	1	1	1	0	4	4	-1	-1	-1	-1	-1	70103	14
701031403	-1	7010314	7	101	110	-1	2	3	-1	4	4	1	5	-1	-1	1	-1	-1	5	-1	5	1	1	9	9	9	0	14	-1	-1	-1	-1	-1	70103	14
701031404	70103142	7010314	7	101	110	110	2	4	-1	4	4	1	3	-1	-1	3	-1	-1	5	-1	5	1	1	9	9	9	14	0	-1	-1	-1	-1	-1	70103	14
701031801	70103181	7010318	7	101	110	110	1	1	1	-1	2	1	66	2	-1	3	-1	1	5	-1	5	1	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	70103	18
701031802	-1	7010318	7	101	110	-1	1	2	1	-1	2	2	66	2	-1	3	-1	1	5	-1	5	1	1	1	1	0	-1	-1	-1	-1	-1	-1	-1	70103	18
701031901	70103191	7010319	7	101	110	110	1	1	1	-1	3	2	20	1	2	1	1	-1	1	-1	1	1	1	9	0	14	9	-1	-1	-1	-1	-1	-1	70103	19
701031902	-1	7010319	7	101	110	-1	1	2	1	-1	3	1	24	1	2	2	-1	-1	1	-1	1	1	1	9	14	0	9	-1	-1	-1	-1	-1	-1	70103	19
701031903	-1	7010319	7	101	110	-1	1	3	1	-1	3	2	50	1	2	2	-1	-1	1	-1	1	1	1	0	4	4	0	-1	-1	-1	-1	-1	-1	70103	19
701032401	70103241	7010324	7	101	110	110	1	1	1	-1	1	2	34	1	-1	2	-1	-1	1	-1	1	1	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	70103	24
701032501	70103251	7010325	7	101	110	110	1	1	1	-1	1	2	77	6	-1	3	-1	1	1	-1	1	1	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	70103	25
701032701	-1	7010327	7	101	110	-1	2	1	-1	3	4	2	37	2	-1	2	-1	-1	5	-1	5	1	1	1	0	1	4	4	-1	-1	-1	-1	-1	70103	27
701032702	-1	7010327	7	101	110	-1	2	2	-1	3	4	1	37	2	-1	2	-1	-1	5	-1	5	1	1	0	1	0	4	4	-1	-1	-1	-1	-1	70103	27
701032703	70103272	7010327	7	101	110	110	2	3	-1	3	4	2	13	-1	-1	1	-1	-1	5	-1	5	1	1	9	9	9	0	14	-1	-1	-1	-1	-1	70103	27
701032704	-1	7010327	7	101	110	-1	2	4	-1	3	4	2	17	1	2	1	2	2	5	-1	5	1	1	9	9	9	14	0	-1	-1	-1	-1	-1	70103	27
701040301	70104031	7010403	7	101	110	110	1	1	1	-1	2	2	69	2	-1	3	-1	1	5	-1	5	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	70104	3
701040302	-1	7010403	7	101	110	-1	1	2	1	-1	2	1	68	2	-1	3	-1	1	5	-1	5	1	1	0	1	0	-1	-1	-1	-1	-1	-1	-1	70104	3
701041201	70104121	7010412	7	101	110	110	1	1	1	-1	3	2	30	1	1	2	-1	-1	1	-1	1	1	1	9	0	9	3	-1	-1	-1	-1	-1	-1	70104	12
701041202	-1	7010412	7	101	110	-1	1	2	1	-1	3	2	54	6	2	2	-1	-1	1	-1	1	1	1	0	4	0	23	-1	-1	-1	-1	-1	-1	70104	12
701041203	-1	7010412	7	101	110	-1	1	3	1	-1	3	1	38	1	1	2	-1	-1	1	-1	1	1	1	23	3	23	0	-1	-1	-1	-1	-1	-1	70104	12
701042001	-1	7010420	7	101	110	-1	2	1	-1	3	6	2	29	2	-1	3	-1	1	5	-1	5	1	1	1	0	1	4	4	14	4	-1	-1	-1	70104	20
701042002	-1	7010420	7	101	110	-1	2	2	-1	3	6	1	32	2	-1	2	-1	-1	5	-1	5	1	1	0	1	0	4	4	4	4	-1	-1	-1	70104	20
701042003	70104202	7010420	7	101	110	110	2	3	-1	3	6	1	11	-1	-1	1	-1	-1	5	-1	5	1	1	9	9	9	0	14	14	14	-1	-1	-1	70104	20
701042004	-1	7010420	7	101	110	-1	2	4	-1	3	6	2	6	-1	-1	1	-1	-1	5	-1	5	1	1	9	9	9	14	0	14	14	-1	-1	-1	70104	20
701042005	-1	7010420	7	101	110	-1	2	5	-1	3	6	2	4	-1	-1	3	-1	-1	5	-1	5	1	1	9	14	9	14	14	0	14	-1	-1	-1	70104	20
701042006	-1	7010420	7	101	110	-1	2	6	-1	3	6	1	0	-1	-1	3	-1	-1	5	-1	5	1	1	9	9	9	14	14	14	0	-1	-1	-1	70104	20
701042401	70104241	7010424	7	101	110	110	1	1	1	3	4	2	53	5	1	3	-1	1	1	-1	1	1	1	3	0	3	4	5	-1	-1	-1	-1	-1	70104	24
701042402	-1	7010424	7	101	110	-1	1	2	1	3	4	1	45	1	1	2	-1	-1	1	-1	1	1	1	0	3	0	4	17	-1	-1	-1	-1	-1	70104	24
701042403	70104242	7010424	7	101	110	110	1	3	1	3	4	1	13	-1	-1	1	-1	-1	1	-1	1	1	1	9	9	9	0	17	-1	-1	-1	-1	-1	70104	24
701042404	-1	7010424	7	101	110	-1	1	4	1	3	4	1	8	-1	-1	1	-1	-1	1	-1	1	1	1	17	10	17	17	0	-1	-1	-1	-1	-1	70104	24
701042501	70104251	7010425	7	101	110	110	1	1	1	-1	1	1	52	5	-1	2	-1	-1	1	-1	1	1	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	70104	25
701050301	-1	7010503	7	101	110	-1	1	1	2	4	4	1	42	2	-1	2	-1	-1	1	-1	1	1	1	0	0	1	4	4	-1	-1	-1	-1	-1	70105	3
701050302	70105031	7010503	7	101	110	110	1	2	2	4	4	2	36	2	-1	2	-1	-1	5	-1	5	1	1	1	1	0	4	4	-1	-1	-1	-1	-1	70105	3
701050303	-1	7010503	7	101	110	-1	1	3	2	4	4	1	16	1	2	1	2	2	5	-1	5	1	1	9	9	9	0	14	-1	-1	-1	-1	-1	70105	3
701050304	70105032	7010503	7	101	110	110	1	4	2	4	4	1	10	-1	-1	1	-1	-1	5	-1	5	1	1	9	9	9	14	0	-1	-1	-1	-1	-1	70105	3
701051201	70105121	7010512	7	101	110	110	1	1	1	-1	2	2	61	2	-1	3	-1	1	1	-1	1	1	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	70105	12
701051202	-1	7010512	7	101	110	-1	1	2	1	-1	2	1	74	2	-1	3	-1	1	1	-1	1	1	1	1	1	0	-1	-1	-1	-1	-1	-1	-1	70105	12
701052301	-1	7010523	7	101	110	-1	2	1	-1	4	4	2	35	1	2	2	-1	-1	1	-1	1	1	1	0	0	4	4	4	-1	-1	-1	-1	-1	70105	23
701052302	-1	7010523	7	101	110	-1	2	2	-1	4	4	1	17	1	2	1	2	1	1	-1	1	1	1	9	9	0	14	14	-1	-1	-1	-1	-1	70105	23
