surveyyr	Country	Outcome	IOut	ScrType	pgrid	adnum1	ChNum	DMHSize	Sex	age	MarStat	LiveWith	MarSt2	LiveW2	WrkStat	PTWork	EverWk	NatIDG	NatIDN	NatIDU	EthGrG	EthGrN	EthGrU	RHRP	R01	R02	R03	R04	R05	R06	R07	R08	R09	R10	RelHRP	Rel01	Rel02	Rel03	Rel04	Rel05	Rel06	Rel07	Rel08	Rel09	Rel10	area	addnum	serialh	serialp	seriali
1	101	110	-1	1	2	-1	-1	2	1	35	1	1	-4	-4	2	-1	-1	2	-1	2	1	-1	1	0	2	0	-1	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10101	11	1010111	101011102	-1
1	101	110	110	1	1	-1	-1	2	1	64	2	-1	-4	-4	2	-1	-1	5	-1	5	1	-1	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10101	15	1010115	101011501	10101151
1	101	110	-1	1	2	-1	-1	2	2	58	2	-1	-4	-4	2	-1	-1	1	-1	1	1	-1	1	1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10101	15	1010115	101011502	-1
1	101	110	110	1	1	-1	-1	1	2	61	5	-1	-4	-4	2	-1	-1	5	-1	5	1	-1	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10101	16	1010116	101011601	10101161
1	101	110	-1	2	1	-1	2	3	2	23	1	2	-4	-4	3	-1	2	1	-1	1	1	-1	1	0	0	3	3	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10101	24	1010124	101012401	-1
1	101	110	110	2	2	-1	2	3	2	5	-1	-1	-4	-4	1	-1	-1	1	-1	1	1	-1	1	8	8	0	13	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10101	24	1010124	101012402	10101242
1	101	110	-1	2	3	-1	2	3	2	0	-1	-1	-4	-4	-1	-1	-1	1	-1	1	1	-1	1	8	8	13	0	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10101	24	1010124	101012403	-1
1	101	110	110	1	1	-1	-1	1	2	55	1	-1	-4	-4	2	-1	-1	1	-1	1	1	-1	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10101	26	1010126	101012601	10101261
1	101	110	110	1	1	-1	4	5	1	39	4	1	-4	-4	2	-1	-1	1	-1	1	1	-1	1	0	0	2	6	6	6	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	1	1010201	101020101	10102011
1	101	110	-1	1	2	-1	4	5	2	39	4	1	-4	-4	2	-1	-1	1	-1	1	1	-1	1	2	2	0	3	3	3	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	1	1010201	101020102	-1
1	101	110	-1	1	3	-1	4	5	1	17	1	2	-4	-4	1	2	2	1	-1	1	1	-1	1	11	11	8	0	13	13	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	1	1010201	101020103	-1
1	101	110	110	1	4	-1	4	5	2	13	-1	-1	-4	-4	1	-1	-1	1	-1	1	1	-1	1	11	11	8	13	0	13	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	1	1010201	101020104	10102012
1	101	110	-1	1	5	-1	4	5	2	12	-1	-1	-4	-4	1	-1	-1	1	-1	1	1	-1	1	11	11	8	13	13	0	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	1	1010201	101020105	-1
1	101	110	-1	2	1	-1	2	2	1	41	4	2	-4	-4	2	-1	-1	1	-1	1	1	-1	1	0	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	3	1010203	101020301	-1
1	101	110	110	2	2	-1	2	2	1	13	-1	-1	-4	-4	1	-1	-1	1	-1	1	1	-1	1	8	8	0	-1	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	3	1010203	101020302	10102032
1	101	110	-1	2	1	-1	3	4	2	31	2	-1	-4	-4	2	-1	-1	1	-1	1	1	-1	1	1	0	1	3	3	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	4	1010204	101020401	-1
1	101	110	-1	2	2	-1	3	4	1	34	2	-1	-4	-4	2	-1	-1	1	-1	1	1	-1	1	0	1	0	3	3	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	4	1010204	101020402	-1
1	101	110	110	2	3	-1	3	4	1	8	-1	-1	-4	-4	1	-1	-1	1	-1	1	1	-1	1	8	8	8	0	13	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	4	1010204	101020403	10102042
1	101	110	-1	2	4	-1	3	4	1	2	-1	-1	-4	-4	-1	-1	-1	1	-1	1	1	-1	1	8	8	8	13	0	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	4	1010204	101020404	-1
1	101	110	-1	1	1	-1	-1	2	2	56	2	-1	-4	-4	2	-1	-1	1	-1	1	1	-1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	7	1010207	101020701	-1
1	101	110	110	1	2	-1	-1	2	1	56	2	-1	-4	-4	2	-1	-1	5	-1	5	1	-1	1	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	7	1010207	101020702	10102071
1	101	110	110	1	1	-1	3	3	2	38	2	-1	-4	-4	2	-1	-1	1	-1	1	1	-1	1	1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	16	1010216	101021601	10102161
1	101	110	-1	1	2	-1	3	3	1	47	2	-1	-4	-4	2	-1	-1	1	-1	1	1	-1	1	0	1	0	3	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	16	1010216	101021602	-1
1	101	110	110	1	3	-1	3	3	1	7	-1	-1	-4	-4	1	-1	-1	1	-1	1	1	-1	1	8	8	8	0	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	16	1010216	101021603	10102162
1	101	110	-1	2	1	-1	3	3	2	39	3	2	-4	-4	2	-1	-1	1	-1	1	1	-1	1	0	0	3	3	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	20	1010220	101022001	-1
1	101	110	-1	2	2	-1	3	3	1	14	-1	-1	-4	-4	1	-1	-1	1	-1	1	1	-1	1	8	8	0	13	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	20	1010220	101022002	-1
1	101	110	110	2	3	-1	3	3	2	11	-1	-1	-4	-4	1	-1	-1	1	-1	1	1	-1	1	8	8	13	0	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	20	1010220	101022003	10102202
1	101	110	-1	1	1	-1	-1	2	1	70	2	-1	-4	-4	3	-1	1	1	-1	1	1	-1	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	25	1010225	101022501	-1
1	101	110	110	1	2	-1	-1	2	2	70	2	-1	-4	-4	3	-1	1	1	-1	1	1	-1	1	1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	25	1010225	101022502	10102251
1	101	110	110	1	1	-1	5	5	2	39	2	-1	-4	-4	2	-1	-1	5	-1	5	1	-1	1	1	0	1	3	3	3	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	26	1010226	101022601	10102261
1	101	110	-1	1	2	-1	5	5	1	43	2	-1	-4	-4	2	-1	-1	1	-1	1	1	-1	1	0	1	0	3	3	3	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	26	1010226	101022602	-1
1	101	110	-1	1	3	-1	5	5	1	19	1	2	-4	-4	2	-1	-1	1	-1	1	1	-1	1	8	8	8	0	13	13	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	26	1010226	101022603	-1
1	101	110	-1	1	4	-1	5	5	1	17	1	2	-4	-4	1	2	2	1	-1	1	1	-1	1	8	8	8	13	0	13	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	26	1010226	101022604	-1
1	101	110	110	1	5	-1	5	5	1	14	-1	-1	-4	-4	1	-1	-1	1	-1	1	1	-1	1	8	8	8	13	13	0	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10102	26	1010226	101022605	10102262
1	101	110	110	1	1	-1	-1	3	2	47	4	1	-4	-4	2	-1	-1	5	-1	5	1	-1	1	0	0	2	3	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	7	1010307	101030701	10103071
1	101	110	-1	1	2	-1	-1	3	1	48	4	1	-4	-4	2	-1	-1	1	-1	1	1	-1	1	2	2	0	6	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	7	1010307	101030702	-1
1	101	110	-1	1	3	-1	-1	3	1	21	1	2	-4	-4	2	-1	-1	1	-1	1	1	-1	1	8	8	11	0	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	7	1010307	101030703	-1
1	101	110	-1	2	1	-1	3	4	2	43	2	-1	-4	-4	2	-1	-1	1	-1	1	1	-1	1	0	0	1	3	6	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	9	1010309	101030901	-1
1	101	110	-1	2	2	-1	3	4	1	33	2	-1	-4	-4	2	-1	-1	1	-1	1	1	-1	1	1	1	0	6	3	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	9	1010309	101030902	-1
1	101	110	110	2	3	-1	3	4	1	15	-1	-1	-4	-4	1	-1	-1	1	-1	1	1	-1	1	8	8	11	0	15	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	9	1010309	101030903	10103092
1	101	110	-1	2	4	-1	3	4	1	13	-1	-1	-4	-4	1	-1	-1	1	-1	1	1	-1	1	11	11	8	15	0	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	9	1010309	101030904	-1
1	101	110	110	1	1	-1	2	3	2	27	3	2	-4	-4	1	2	2	5	-1	5	1	-1	1	0	0	3	3	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	11	1010311	101031101	10103111
1	101	110	110	1	2	-1	2	3	2	9	-1	-1	-4	-4	1	-1	-1	5	-1	5	1	-1	1	8	8	0	13	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	11	1010311	101031102	10103112
1	101	110	-1	1	3	-1	2	3	2	6	-1	-1	-4	-4	1	-1	-1	5	-1	5	1	-1	1	8	8	13	0	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	11	1010311	101031103	-1
1	101	110	-1	2	1	-1	3	5	2	41	2	-1	-4	-4	2	-1	-1	1	-1	1	1	-1	1	1	0	1	3	3	3	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	13	1010313	101031301	-1
1	101	110	-1	2	2	-1	3	5	1	42	2	-1	-4	-4	2	-1	-1	5	-1	5	1	-1	1	0	1	0	3	3	3	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	13	1010313	101031302	-1
1	101	110	110	2	3	-1	3	5	2	14	-1	-1	-4	-4	1	-1	-1	1	-1	1	1	-1	1	8	8	8	0	13	13	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	13	1010313	101031303	10103132
1	101	110	-1	2	4	-1	3	5	1	12	-1	-1	-4	-4	1	-1	-1	1	-1	1	1	-1	1	8	8	8	13	0	13	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	13	1010313	101031304	-1
1	101	110	-1	2	5	-1	3	5	2	1	-1	-1	-4	-4	-1	-1	-1	1	-1	1	1	-1	1	8	8	8	13	13	0	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	13	1010313	101031305	-1
1	101	110	110	1	1	-1	2	3	2	46	4	2	-4	-4	2	-1	-1	1	-1	1	1	-1	1	0	0	3	3	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	16	1010316	101031601	10103161
1	101	110	110	1	2	-1	2	3	2	15	-1	-1	-4	-4	1	-1	-1	1	-1	1	1	-1	1	8	8	0	13	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	16	1010316	101031602	10103162
1	101	110	-1	1	3	-1	2	3	1	13	-1	-1	-4	-4	1	-1	-1	1	-1	1	1	-1	1	8	8	13	0	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	16	1010316	101031603	-1
1	101	110	-1	1	1	-1	-1	2	1	52	3	2	-4	-4	3	-1	1	1	-1	1	1	-1	1	3	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	18	1010318	101031801	-1
1	101	110	110	1	2	-1	-1	2	2	27	1	2	-4	-4	2	-1	-1	1	-1	1	1	-1	1	0	8	0	-1	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	18	1010318	101031802	10103181
1	101	110	-1	2	1	-1	4	4	2	35	2	-1	-4	-4	2	-1	-1	6	-1	6	7	-1	3	0	0	1	3	3	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	19	1010319	101031901	-1
1	101	110	-1	2	2	-1	4	4	1	35	2	-1	-4	-4	2	-1	-1	6	-1	6	7	-1	3	1	1	0	3	3	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	19	1010319	101031902	-1
1	101	110	-1	2	3	-1	4	4	2	5	-1	-1	-4	-4	1	-1	-1	6	-1	6	7	-1	3	8	8	8	0	13	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	19	1010319	101031903	-1
1	101	110	110	2	4	-1	4	4	1	2	-1	-1	-4	-4	-1	-1	-1	6	-1	6	7	-1	3	8	8	8	13	0	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	19	1010319	101031904	10103192
1	101	110	110	1	1	-1	2	3	2	35	4	2	-4	-4	2	-1	-1	1	-1	1	1	-1	1	0	0	3	3	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	21	1010321	101032101	10103211
1	101	110	110	1	2	-1	2	3	2	14	-1	-1	-4	-4	1	-1	-1	1	-1	1	1	-1	1	8	8	0	13	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	21	1010321	101032102	10103212
1	101	110	-1	1	3	-1	2	3	2	1	-1	-1	-4	-4	-1	-1	-1	1	-1	1	1	-1	1	8	8	13	0	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	21	1010321	101032103	-1
1	101	110	-1	2	1	-1	3	4	2	40	2	-1	-4	-4	3	-1	2	6	-1	6	10	-1	6	1	0	1	3	3	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	27	1010327	101032701	-1
1	101	110	-1	2	2	-1	3	4	1	44	2	-1	-4	-4	1	2	2	6	-1	6	10	-1	6	0	1	0	3	3	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	27	1010327	101032702	-1
1	101	110	110	2	3	-1	3	4	1	3	-1	-1	-4	-4	-1	-1	-1	6	-1	6	5	-1	2	8	8	8	0	13	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	27	1010327	101032703	10103272
1	101	110	-1	2	4	-1	3	4	2	15	-1	-1	-4	-4	1	-1	-1	6	-1	6	10	-1	6	8	8	8	13	0	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10103	27	1010327	101032704	-1
1	101	110	110	1	1	-1	-1	1	1	52	1	-1	-4	-4	3	-1	1	1	-1	1	1	-1	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10104	1	1010401	101040101	10104011
1	101	110	-1	2	1	-1	2	2	2	42	1	2	-4	-4	3	-1	1	1	-1	1	1	-1	1	0	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10104	2	1010402	101040201	-1
1	101	110	110	2	2	-1	2	2	2	9	-1	-1	-4	-4	1	-1	-1	1	-1	1	3	-1	2	8	8	0	-1	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10104	2	1010402	101040202	10104022
1	101	110	110	1	1	-1	-1	3	2	65	2	-1	-4	-4	3	-1	1	1	-1	1	1	-1	1	1	0	1	3	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10104	7	1010407	101040701	10104071
1	101	110	-1	1	2	-1	-1	3	1	55	2	-1	-4	-4	2	-1	-1	1	-1	1	1	-1	1	0	1	0	3	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10104	7	1010407	101040702	-1
1	101	110	-1	1	3	-1	-1	3	1	29	1	2	-4	-4	1	2	2	1	-1	1	1	-1	1	8	8	8	0	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10104	7	1010407	101040703	-1
1	101	110	-1	2	1	-1	3	3	2	36	1	1	-4	-4	2	-1	-1	6	-1	6	2	-1	1	2	0	2	3	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10104	9	1010409	101040901	-1
1	101	110	-1	2	2	-1	3	3	1	50	1	1	-4	-4	2	-1	-1	1	-1	1	1	-1	1	0	2	0	3	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10104	9	1010409	101040902	-1
1	101	110	110	2	3	-1	3	3	2	1	-1	-1	-4	-4	-1	-1	-1	1	-1	1	1	-1	1	8	8	8	0	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10104	9	1010409	101040903	10104092
1	101	110	-1	2	1	-1	3	3	2	40	1	2	-4	-4	2	-1	-1	1	-1	1	1	-1	1	0	0	3	3	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10104	12	1010412	101041201	-1
1	101	110	-1	2	2	-1	3	3	1	20	1	2	-4	-4	3	-1	2	1	-1	1	1	-1	1	8	8	0	13	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10104	12	1010412	101041202	-1
1	101	110	110	2	3	-1	3	3	1	14	-1	-1	-4	-4	1	-1	-1	1	-1	1	1	-1	1	8	8	13	0	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10104	12	1010412	101041203	10104122
1	101	110	-1	2	1	-1	4	4	2	39	1	1	-4	-4	2	-1	-1	5	-1	5	1	-1	1	0	0	2	3	3	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10104	24	1010424	101042401	-1
1	101	110	-1	2	2	-1	4	4	1	43	1	1	-4	-4	2	-1	-1	5	-1	5	1	-1	1	2	2	0	3	3	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10104	24	1010424	101042402	-1
1	101	110	-1	2	3	-1	4	4	2	15	-1	-1	-4	-4	1	-1	-1	5	-1	5	1	-1	1	8	8	8	0	13	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10104	24	1010424	101042403	-1
1	101	110	110	2	4	-1	4	4	1	12	-1	-1	-4	-4	1	-1	-1	5	-1	5	1	-1	1	8	8	8	13	0	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10104	24	1010424	101042404	10104242
1	101	110	110	1	1	-1	2	2	2	39	1	2	-4	-4	2	-1	-1	5	-1	5	11	-1	7	0	0	3	-1	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10104	26	1010426	101042601	10104261
1	101	110	110	1	2	-1	2	2	1	14	-1	-1	-4	-4	1	-1	-1	5	-1	5	11	-1	7	8	8	0	-1	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10104	26	1010426	101042602	10104262
1	101	110	110	1	1	-1	3	3	1	32	4	1	-4	-4	2	-1	-1	5	-1	5	1	-1	1	0	0	2	6	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10105	1	1010501	101050101	10105011
1	101	110	-1	1	2	-1	3	3	2	32	1	1	-4	-4	3	-1	1	5	-1	5	1	-1	1	2	2	0	3	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10105	1	1010501	101050102	-1
1	101	110	110	1	3	-1	3	3	1	9	-1	-1	-4	-4	1	-1	-1	5	-1	5	1	-1	1	11	11	8	0	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10105	1	1010501	101050103	10105012
1	101	110	110	1	1	-1	3	3	1	26	1	1	-4	-4	2	-1	-1	1	-1	1	1	-1	1	0	0	2	3	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10105	7	1010507	101050701	10105071
1	101	110	-1	1	2	-1	3	3	2	23	1	1	-4	-4	1	1	-1	1	-1	1	1	-1	1	2	2	0	3	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10105	7	1010507	101050702	-1
1	101	110	110	1	3	-1	3	3	2	3	-1	-1	-4	-4	-1	-1	-1	1	-1	1	1	-1	1	8	8	8	0	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10105	7	1010507	101050703	10105072
1	101	110	110	1	1	-1	-1	3	2	50	4	1	-4	-4	2	-1	-1	5	-1	5	1	-1	1	0	0	2	3	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10105	11	1010511	101051101	10105111
