surveyyr	Country	Outcome	IOut	ScrType	pgrid	adnum1	ChNum	DMHSize	Sex	age	MarStat	LiveWith	MarSt2	LiveW2	WrkStat	PTWork	EverWk	NatIDG	NatIDN	NatIDU	EthGrG	EthGrN	EthGrU	RHRP	R01	R02	R03	R04	R05	R06	R07	R08	R09	R10	RelHRP	Rel01	Rel02	Rel03	Rel04	Rel05	Rel06	Rel07	Rel08	Rel09	Rel10	area	addnum	serialh	serialp	seriali
1	101	110	-1	2	1	-1	4	4	2	37	3	2	-4	-4	2	-1	-1	1	-1	1	1	-1	1	0	0	3	3	3	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10101	3	1010103	101010301	-1
1	101	110	-1	2	2	-1	4	4	2	13	-1	-1	-4	-4	1	-1	-1	1	-1	1	1	-1	1	8	8	0	13	13	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10101	3	1010103	101010302	-1
1	101	110	-1	2	3	-1	4	4	2	8	-1	-1	-4	-4	1	-1	-1	1	-1	1	1	-1	1	8	8	13	0	13	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10101	3	1010103	101010303	-1
1	101	110	110	2	4	-1	4	4	2	11	-1	-1	-4	-4	1	-1	-1	1	-1	1	1	-1	1	8	8	13	13	0	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10101	3	1010103	101010304	10101032
1	101	110	-1	2	1	-1	3	5	2	32	2	-1	-4	-4	2	-1	-1	5	-1	5	7	-1	3	1	0	1	3	3	3	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10101	4	1010104	101010401	-1
1	101	110	-1	2	2	-1	3	5	1	37	2	-1	-4	-4	2	-1	-1	5	-1	5	7	-1	3	0	1	0	3	3	3	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10101	4	1010104	101010402	-1
1	101	110	110	2	3	-1	3	5	2	10	-1	-1	-4	-4	1	-1	-1	5	-1	5	7	-1	3	8	8	8	0	13	13	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10101	4	1010104	101010403	10101042
1	101	110	-1	2	4	-1	3	5	1	5	-1	-1	-4	-4	1	-1	-1	5	-1	5	7	-1	3	8	8	8	13	0	13	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10101	4	1010104	101010404	-1
1	101	110	-1	2	5	-1	3	5	2	11	-1	-1	-4	-4	1	-1	-1	5	-1	5	7	-1	3	8	8	8	13	13	0	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10101	4	1010104	101010405	-1
1	101	110	110	1	1	-1	-1	2	2	32	1	1	-4	-4	2	-1	-1	1	-1	1	1	-1	1	2	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	10101	11	1010111	101011101	10101111
