seriali	serialh	surveyyr	Outcome	IOut	ScrType	DMHSize7	Sex	AgeR	MarSt2_r	LiveW2	WrkStat	PTWork	EverWk	natidgby5_r	natidniy5_r	natiduky5	ethgrp5	ethgrp2	RelHRPr	Rel01r	Rel02r	Rel03r	Rel04r	Rel05r	Rel06r	Rel07r	Country
100906142	10090614	10	110	-1	2	3	1	36	2	-1	2	-1	-1	3	-1	3	1	1	0	1	0	2	-1	-1	-1	-1	101
100906143	10090614	10	110	110	2	3	1	2	-1	-1	3	-1	-1	1	-1	1	1	1	3	3	3	0	-1	-1	-1	-1	101
100906151	10090615	10	110	-1	2	4	2	32	2	-1	2	-1	-1	1	-1	1	1	1	1	0	1	2	2	-1	-1	-1	101
100906152	10090615	10	110	-1	2	4	1	32	2	-1	2	-1	-1	1	-1	1	1	1	0	1	0	2	2	-1	-1	-1	101
100906153	10090615	10	110	110	2	4	2	3	-1	-1	3	-1	-1	1	-1	1	1	1	3	3	3	0	4	-1	-1	-1	101
100906154	10090615	10	110	-1	2	4	1	 	-1	-1	3	-1	-1	1	-1	1	1	1	3	3	3	4	0	-1	-1	-1	101
100906181	10090618	10	110	-1	2	4	2	34	2	-1	2	-1	-1	1	-1	1	1	1	1	0	1	2	2	-1	-1	-1	101
100906182	10090618	10	110	-1	2	4	1	37	2	-1	2	-1	-1	1	-1	1	1	1	0	1	0	2	2	-1	-1	-1	101
100906183	10090618	10	110	110	2	4	1	3	-1	-1	3	-1	-1	1	-1	1	1	1	3	3	3	0	4	-1	-1	-1	101
100906184	10090618	10	110	-1	2	4	2	1	-1	-1	3	-1	-1	1	-1	1	1	1	3	3	3	4	0	-1	-1	-1	101
100906241	10090624	10	110	110	1	3	2	53	2	-1	2	-1	-1	1	-1	1	1	1	1	0	1	2	-1	-1	-1	-1	101
100906242	10090624	10	110	-1	1	3	1	61	2	-1	2	-1	-1	1	-1	1	1	1	0	1	0	2	-1	-1	-1	-1	101
100906243	10090624	10	110	110	1	3	2	17	1	2	1	1	-1	1	-1	1	1	1	3	3	3	0	-1	-1	-1	-1	101
100906251	10090625	10	110	110	1	2	2	68	2	-1	3	-1	1	4	-1	5	1	1	1	0	1	-1	-1	-1	-1	-1	101
100906252	10090625	10	110	-1	1	2	1	69	2	-1	3	-1	1	1	-1	1	1	1	0	1	0	-1	-1	-1	-1	-1	101
100907081	10090708	10	110	-1	2	5	2	41	2	-1	2	-1	-1	4	-1	5	1	1	0	0	1	2	2	2	-1	-1	101
100907082	10090708	10	110	-1	2	5	1	40	2	-1	2	-1	-1	4	-1	5	1	1	1	1	0	2	2	2	-1	-1	101
100907083	10090708	10	110	-1	2	5	2	13	-1	-1	1	-1	-1	4	-1	5	1	1	3	3	3	0	4	4	-1	-1	101
100907084	10090708	10	110	-1	2	5	2	 	-1	-1	3	-1	-1	4	-1	5	1	1	3	3	3	4	0	4	-1	-1	101
100907085	10090708	10	110	110	2	5	2	1	-1	-1	3	-1	-1	4	-1	5	1	1	3	3	3	4	4	0	-1	-1	101
100907111	10090711	10	110	-1	2	3	1	37	2	-1	2	-1	-1	4	-1	5	1	1	1	0	1	2	-1	-1	-1	-1	101
100907112	10090711	10	110	-1	2	3	2	37	2	-1	2	-1	-1	4	-1	5	1	1	0	1	0	2	-1	-1	-1	-1	101
100907113	10090711	10	110	110	2	3	1	5	-1	-1	1	-1	-1	4	-1	5	1	1	3	3	3	0	-1	-1	-1	-1	101
100907281	10090728	10	110	110	1	2	1	39	1	1	2	-1	-1	4	-1	5	1	1	1	0	1	-1	-1	-1	-1	-1	101
100907282	10090728	10	110	-1	1	2	2	26	1	1	2	-1	-1	4	-1	5	1	1	0	1	0	-1	-1	-1	-1	-1	101
100908021	10090802	10	110	110	1	4	1	55	2	-1	2	-1	-1	5	-1	6	4	2	0	0	1	2	2	-1	-1	-1	201
100908022	10090802	10	110	-1	1	4	2	48	2	-1	2	-1	-1	5	-1	6	4	2	1	1	0	2	2	-1	-1	-1	201
100908023	10090802	10	110	110	1	4	1	18	1	2	1	2	2	4	-1	5	4	2	3	3	3	0	4	-1	-1	-1	201
100908024	10090802	10	110	-1	1	4	1	17	1	2	2	-1	-1	4	-1	5	4	2	3	3	3	4	0	-1	-1	-1	201
100908071	10090807	10	110	-1	2	6	2	46	2	-1	3	-1	1	4	-1	5	1	1	1	0	1	2	2	2	2	-1	201
100908072	10090807	10	110	-1	2	6	1	48	2	-1	2	-1	-1	3	-1	3	1	1	0	1	0	2	2	2	2	-1	201
100908073	10090807	10	110	-1	2	6	2	17	1	2	1	2	2	3	-1	3	1	1	3	3	3	0	4	4	4	-1	201
100908074	10090807	10	110	-1	2	6	2	15	-1	-1	1	-1	-1	3	-1	3	1	1	3	3	3	4	0	4	4	-1	201
100908075	10090807	10	110	110	2	6	1	13	-1	-1	1	-1	-1	3	-1	3	1	1	3	3	3	4	4	0	4	-1	201
100908076	10090807	10	110	-1	2	6	1	10	-1	-1	1	-1	-1	3	-1	3	1	1	3	3	3	4	4	4	0	-1	201
100908121	10090812	10	110	-1	2	4	1	43	2	-1	2	-1	-1	3	-1	3	1	1	0	0	1	2	2	-1	-1	-1	201
100908122	10090812	10	110	-1	2	4	2	41	2	-1	2	-1	-1	3	-1	3	1	1	1	1	0	2	2	-1	-1	-1	201
100908123	10090812	10	110	-1	2	4	2	11	-1	-1	1	-1	-1	3	-1	3	1	1	3	3	3	0	4	-1	-1	-1	201
100908124	10090812	10	110	110	2	4	2	5	-1	-1	1	-1	-1	3	-1	3	1	1	3	3	3	4	0	-1	-1	-1	201
100908191	10090819	10	110	-1	2	3	2	38	2	-1	2	-1	-1	3	-1	3	1	1	1	0	1	2	-1	-1	-1	-1	201
100908192	10090819	10	110	-1	2	3	1	42	2	-1	2	-1	-1	5	-1	4	1	1	0	1	0	2	-1	-1	-1	-1	201
100908193	10090819	10	110	110	2	3	2	6	-1	-1	1	-1	-1	3	-1	3	1	1	3	3	3	0	-1	-1	-1	-1	201
