surveyyr	country	Outcome	IOut	ScrType	pgrid	adnum1	ChNum	DMHSize	Sex	age	MarSt2	LiveW2	WrkStat	PTWork	EverWk	natidgby5	natidniy5	natiduky5	EthGrpGB	EthGrpNI	EthGrpUK	RelHRP	Rel01	Rel02	Rel03	Rel04	Rel05	Rel06	Rel07	Rel08	Rel09	Rel10	area	addnum	serialh	serialp	seriali
5	101	110	110	1	1	1	-1	5	1	22	1	2	1	2	2	1	-1	1	1	-1	1	0	0	23	23	23	23	-1	-1	-1	-1	-1	50101	1	5010101	501010101	50101011
5	101	110	-1	1	2	1	-1	5	2	23	1	2	1	-8	-8	6	-1	6	1	-1	1	23	23	0	23	23	23	-1	-1	-1	-1	-1	50101	1	5010101	501010102	-1
5	101	110	-1	1	3	1	-1	5	2	21	1	2	1	-8	-8	1	-1	1	1	-1	1	23	23	23	0	23	23	-1	-1	-1	-1	-1	50101	1	5010101	501010103	-1
5	101	110	-1	1	4	1	-1	5	2	22	1	2	1	-8	-8	1	-1	1	1	-1	1	23	23	23	23	0	23	-1	-1	-1	-1	-1	50101	1	5010101	501010104	-1
5	101	110	-1	1	5	1	-1	5	1	22	1	2	1	-8	-8	1	-1	1	1	-1	1	23	23	23	23	23	0	-1	-1	-1	-1	-1	50101	1	5010101	501010105	-1
5	101	110	110	1	1	1	-1	1	2	30	1	-1	2	-1	-1	1	-1	1	1	-1	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	50101	4	5010104	501010401	50101041
5	101	110	110	1	1	1	-1	3	2	23	1	2	2	-1	-1	1	-1	1	1	-1	1	9	0	9	9	-1	-1	-1	-1	-1	-1	-1	50102	1	5010201	501020101	50102011
5	101	110	-1	1	2	1	-1	3	2	48	2	-1	2	-1	-1	1	-1	1	1	-1	1	1	4	0	1	-1	-1	-1	-1	-1	-1	-1	50102	1	5010201	501020102	-1
5	101	110	-1	1	3	1	-1	3	1	51	2	-1	2	-1	-1	1	-1	1	1	-1	1	0	4	1	0	-1	-1	-1	-1	-1	-1	-1	50102	1	5010201	501020103	-1
5	101	110	-1	2	1	-1	2	3	2	29	1	2	2	-1	-1	1	-1	1	1	-1	1	9	0	4	9	-1	-1	-1	-1	-1	-1	-1	50102	8	5010208	501020801	-1
5	101	110	110	2	2	-1	2	3	1	3	-1	-1	3	-1	-1	1	-1	1	1	-1	1	21	9	0	21	-1	-1	-1	-1	-1	-1	-1	50102	8	5010208	501020802	50102082
5	101	110	-1	2	3	-1	2	3	2	54	5	2	2	-1	-1	1	-1	1	1	-1	1	0	4	20	0	-1	-1	-1	-1	-1	-1	-1	50102	8	5010208	501020803	-1
5	101	110	110	2	1	-1	1	4	2	17	1	2	1	1	-1	1	-1	1	1	-1	1	0	0	9	9	14	-1	-1	-1	-1	-1	-1	50102	9	5010209	501020901	50102092
5	101	110	-1	2	2	-1	1	4	2	53	2	-1	2	-1	-1	1	-1	1	1	-1	1	4	4	0	1	4	-1	-1	-1	-1	-1	-1	50102	9	5010209	501020902	-1
5	101	110	-1	2	3	-1	1	4	1	66	2	-1	3	-1	1	1	-1	1	1	-1	1	4	4	1	0	4	-1	-1	-1	-1	-1	-1	50102	9	5010209	501020903	-1
5	101	110	-1	2	4	-1	1	4	2	21	1	2	2	-1	-1	1	-1	1	1	-1	1	14	14	9	9	0	-1	-1	-1	-1	-1	-1	50102	9	5010209	501020904	-1
5	101	110	110	1	1	1	2	4	1	39	2	-1	2	-1	-1	1	-1	1	1	-1	1	0	0	4	1	4	-1	-1	-1	-1	-1	-1	50102	14	5010214	501021401	50102141
5	101	110	110	1	2	1	2	4	1	5	-1	-1	1	-1	-1	1	-1	1	1	-1	1	9	9	0	9	14	-1	-1	-1	-1	-1	-1	50102	14	5010214	501021402	50102142
5	101	110	-1	1	3	1	2	4	2	34	2	-1	3	-1	1	1	-1	1	1	-1	1	1	1	4	0	4	-1	-1	-1	-1	-1	-1	50102	14	5010214	501021403	-1
5	101	110	-1	1	4	1	2	4	2	0	-1	-1	3	-1	-1	1	-1	1	1	-1	1	9	9	14	9	0	-1	-1	-1	-1	-1	-1	50102	14	5010214	501021404	-1
5	101	110	110	1	1	1	2	4	1	44	2	-1	2	-1	-1	1	-1	1	1	-1	1	0	0	4	1	4	-1	-1	-1	-1	-1	-1	50102	24	5010224	501022401	50102241
5	101	110	110	1	2	1	2	4	1	12	-1	-1	1	-1	-1	1	-1	1	1	-1	1	9	9	0	9	14	-1	-1	-1	-1	-1	-1	50102	24	5010224	501022402	50102242
5	101	110	-1	1	3	1	2	4	2	42	2	-1	2	-1	-1	1	-1	1	1	-1	1	1	1	4	0	4	-1	-1	-1	-1	-1	-1	50102	24	5010224	501022403	-1
5	101	110	-1	1	4	1	2	4	2	6	-1	-1	1	-1	-1	1	-1	1	1	-1	1	9	9	14	9	0	-1	-1	-1	-1	-1	-1	50102	24	5010224	501022404	-1
5	202	110	-1	1	1	2	-1	2	2	47	2	-1	3	-1	1	1	-1	1	1	-1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	50103	1	5010301	501030101	-1
5	202	110	110	1	2	2	-1	2	1	48	2	-1	2	-1	-1	1	-1	1	1	-1	1	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	50103	1	5010301	501030102	50103011
5	202	110	110	1	1	1	3	4	1	46	2	-1	3	-1	1	5	-1	5	1	-1	1	0	0	1	4	4	-1	-1	-1	-1	-1	-1	50103	7	5010307	501030701	50103071
5	202	110	-1	1	2	1	3	4	2	42	2	-1	2	-1	-1	5	-1	5	1	-1	1	1	1	0	4	4	-1	-1	-1	-1	-1	-1	50103	7	5010307	501030702	-1
5	202	110	110	1	3	1	3	4	1	15	-1	-1	1	-1	-1	3	-1	3	1	-1	1	9	9	9	0	14	-1	-1	-1	-1	-1	-1	50103	7	5010307	501030703	50103072
5	202	110	-1	1	4	1	3	4	1	12	-1	-1	1	-1	-1	3	-1	3	1	-1	1	9	9	9	14	0	-1	-1	-1	-1	-1	-1	50103	7	5010307	501030704	-1
