surveyyr	country	Outcome	IOut	ScrType	pgrid	adnum1	ChNum	DMHSize	Sex	age	MarSt2	LiveW2	WrkStat	PTWork	EverWk	natidgby5	natidniy5	natiduky5	EthGrpGB	EthGrpNI	EthGrpUK	RelHRP	Rel01	Rel02	Rel03	Rel04	Rel05	Rel06	Rel07	Rel08	Rel09	Rel10	area	addnum	serialh	serialp	seriali
5	202	110	-1	1	1	2	4	4	2	36	2	-1	2	-1	-1	3	-1	3	1	-1	1	0	0	1	5	5	-1	-1	-1	-1	-1	-1	50103	10	5010310	501031001	-1
5	202	110	110	1	2	2	4	4	1	38	2	-1	2	-1	-1	3	-1	3	1	-1	1	1	1	0	5	5	-1	-1	-1	-1	-1	-1	50103	10	5010310	501031002	50103101
5	202	110	-1	1	3	2	4	4	1	4	-1	-1	3	-1	-1	3	-1	3	1	-1	1	10	10	10	0	14	-1	-1	-1	-1	-1	-1	50103	10	5010310	501031003	-1
5	202	110	110	1	4	2	4	4	1	2	-1	-1	3	-1	-1	3	-1	3	1	-1	1	10	10	10	14	0	-1	-1	-1	-1	-1	-1	50103	10	5010310	501031004	50103102
5	202	110	-1	2	1	-1	4	6	2	45	2	-1	2	-1	-1	3	-1	3	1	-1	1	1	0	1	4	4	4	4	-1	-1	-1	-1	50103	21	5010321	501032101	-1
5	202	110	-1	2	2	-1	4	6	1	48	2	-1	2	-1	-1	3	-1	3	1	-1	1	0	1	0	4	4	4	4	-1	-1	-1	-1	50103	21	5010321	501032102	-1
5	202	110	-1	2	3	-1	4	6	2	19	1	2	1	1	-1	3	-1	3	1	-1	1	9	9	9	0	14	14	14	-1	-1	-1	-1	50103	21	5010321	501032103	-1
5	202	110	110	2	4	-1	4	6	2	16	1	2	1	2	1	3	-1	3	1	-1	1	9	9	9	14	0	14	14	-1	-1	-1	-1	50103	21	5010321	501032104	50103212
5	202	110	-1	2	5	-1	4	6	2	14	-1	-1	1	-1	-1	3	-1	3	1	-1	1	9	9	9	14	14	0	14	-1	-1	-1	-1	50103	21	5010321	501032105	-1
5	202	110	-1	2	6	-1	4	6	2	9	-1	-1	1	-1	-1	3	-1	3	1	-1	1	9	9	9	14	14	14	0	-1	-1	-1	-1	50103	21	5010321	501032106	-1
5	202	110	-1	2	1	-1	3	4	2	48	2	-1	3	-1	1	3	-1	3	1	-1	1	1	0	1	4	4	-1	-1	-1	-1	-1	-1	50103	23	5010323	501032301	-1
5	202	110	-1	2	2	-1	3	4	1	48	2	-1	2	-1	-1	3	-1	3	1	-1	1	0	1	0	4	4	-1	-1	-1	-1	-1	-1	50103	23	5010323	501032302	-1
5	202	110	110	2	3	-1	3	4	1	17	1	2	1	2	2	3	-1	3	1	-1	1	9	9	9	0	14	-1	-1	-1	-1	-1	-1	50103	23	5010323	501032303	50103232
5	202	110	-1	2	4	-1	3	4	1	19	1	2	1	2	2	3	-1	3	1	-1	1	9	9	9	14	0	-1	-1	-1	-1	-1	-1	50103	23	5010323	501032304	-1
5	202	110	-1	1	1	2	-1	2	2	52	1	2	2	-1	-1	3	-1	3	1	-1	1	0	0	14	-1	-1	-1	-1	-1	-1	-1	-1	50103	24	5010324	501032401	-1
5	202	110	110	1	2	2	-1	2	2	56	1	2	2	-1	-1	3	-1	3	1	-1	1	14	14	0	-1	-1	-1	-1	-1	-1	-1	-1	50103	24	5010324	501032402	50103241
5	202	110	-1	2	1	-1	3	4	2	33	2	-1	2	-1	-1	3	-1	3	1	-1	1	1	0	1	4	4	-1	-1	-1	-1	-1	-1	50103	25	5010325	501032501	-1
5	202	110	-1	2	2	-1	3	4	1	41	2	-1	2	-1	-1	3	-1	3	1	-1	1	0	1	0	4	4	-1	-1	-1	-1	-1	-1	50103	25	5010325	501032502	-1
5	202	110	110	2	3	-1	3	4	2	3	-1	-1	3	-1	-1	3	-1	3	1	-1	1	9	9	9	0	14	-1	-1	-1	-1	-1	-1	50103	25	5010325	501032503	50103252
5	202	110	-1	2	4	-1	3	4	1	1	-1	-1	3	-1	-1	3	-1	3	1	-1	1	9	9	9	14	0	-1	-1	-1	-1	-1	-1	50103	25	5010325	501032504	-1
5	202	110	110	1	1	1	-1	1	2	78	6	-1	3	-1	1	3	-1	3	1	-1	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	50104	1	5010401	501040101	50104011
5	202	110	-1	2	1	-1	4	4	2	42	2	-1	3	-1	1	3	-1	3	1	-1	1	1	0	1	4	4	-1	-1	-1	-1	-1	-1	50104	8	5010408	501040801	-1
5	202	110	-1	2	2	-1	4	4	1	41	2	-1	2	-1	-1	3	-1	3	1	-1	1	0	1	0	4	4	-1	-1	-1	-1	-1	-1	50104	8	5010408	501040802	-1
5	202	110	-1	2	3	-1	4	4	2	12	-1	-1	1	-1	-1	3	-1	3	1	-1	1	9	9	9	0	14	-1	-1	-1	-1	-1	-1	50104	8	5010408	501040803	-1
5	202	110	110	2	4	-1	4	4	1	7	-1	-1	1	-1	-1	3	-1	3	1	-1	1	9	9	9	14	0	-1	-1	-1	-1	-1	-1	50104	8	5010408	501040804	50104082
5	202	110	110	1	1	1	-1	2	2	67	2	-1	3	-1	1	5	-1	5	1	-1	1	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	50104	16	5010416	501041601	50104161
5	202	110	-1	1	2	1	-1	2	1	70	2	-1	3	-1	1	3	-1	3	1	-1	1	1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	50104	16	5010416	501041602	-1
5	202	110	110	1	1	1	-1	2	2	23	1	2	2	-1	-1	3	-1	3	1	-1	1	0	0	22	-1	-1	-1	-1	-1	-1	-1	-1	50104	19	5010419	501041901	50104191
5	202	110	-1	1	2	1	-1	2	1	22	1	2	2	-1	-1	3	-1	3	1	-1	1	22	22	0	-1	-1	-1	-1	-1	-1	-1	-1	50104	19	5010419	501041902	-1
5	202	110	-1	2	1	-1	2	3	2	45	5	2	2	-1	-1	1	-1	1	1	-1	1	0	0	4	4	-1	-1	-1	-1	-1	-1	-1	50104	20	5010420	501042001	-1
5	202	110	110	2	2	-1	2	3	1	17	1	2	1	2	1	3	-1	3	1	-1	1	9	9	0	14	-1	-1	-1	-1	-1	-1	-1	50104	20	5010420	501042002	50104202
5	202	110	-1	2	3	-1	2	3	2	20	1	2	2	-1	-1	3	-1	3	1	-1	1	9	9	14	0	-1	-1	-1	-1	-1	-1	-1	50104	20	5010420	501042003	-1
5	202	110	-1	2	1	-1	3	4	2	39	2	-1	2	-1	-1	1	-1	1	1	-1	1	0	0	1	4	4	-1	-1	-1	-1	-1	-1	50104	23	5010423	501042301	-1
5	202	110	-1	2	2	-1	3	4	1	42	2	-1	2	-1	-1	3	-1	3	1	-1	1	1	1	0	4	4	-1	-1	-1	-1	-1	-1	50104	23	5010423	501042302	-1
5	202	110	110	2	3	-1	3	4	1	5	-1	-1	1	-1	-1	3	-1	3	1	-1	1	9	9	9	0	14	-1	-1	-1	-1	-1	-1	50104	23	5010423	501042303	50104232
5	202	110	-1	2	4	-1	3	4	1	2	-1	-1	3	-1	-1	3	-1	3	1	-1	1	9	9	9	14	0	-1	-1	-1	-1	-1	-1	50104	23	5010423	501042304	-1
5	202	110	-1	2	1	-1	3	5	2	48	2	-1	2	-1	-1	3	-1	3	1	-1	1	1	0	1	4	4	4	-1	-1	-1	-1	-1	50104	26	5010426	501042601	-1
5	202	110	-1	2	2	-1	3	5	1	55	2	-1	2	-1	-1	3	-1	3	1	-1	1	0	1	0	4	4	4	-1	-1	-1	-1	-1	50104	26	5010426	501042602	-1
5	202	110	110	2	3	-1	3	5	1	17	1	2	1	2	2	3	-1	3	1	-1	1	9	9	9	0	14	14	-1	-1	-1	-1	-1	50104	26	5010426	501042603	50104262
5	202	110	-1	2	4	-1	3	5	2	19	1	2	3	-1	2	3	-1	3	1	-1	1	9	9	9	14	0	14	-1	-1	-1	-1	-1	50104	26	5010426	501042604	-1
5	202	110	-1	2	5	-1	3	5	2	15	-1	-1	1	-1	-1	3	-1	3	1	-1	1	9	9	9	14	14	0	-1	-1	-1	-1	-1	50104	26	5010426	501042605	-1
5	101	110	110	1	1	1	2	3	2	39	1	2	2	-1	-1	5	-1	5	1	-1	1	0	0	4	4	-1	-1	-1	-1	-1	-1	-1	50105	1	5010501	501050101	50105011
5	101	110	110	1	2	1	2	3	1	15	-1	-1	1	-1	-1	5	-1	5	1	-1	1	9	9	0	14	-1	-1	-1	-1	-1	-1	-1	50105	1	5010501	501050102	50105012
5	101	110	-1	1	3	1	2	3	2	13	-1	-1	1	-1	-1	5	-1	5	1	-1	1	9	9	14	0	-1	-1	-1	-1	-1	-1	-1	50105	1	5010501	501050103	-1
5	101	110	-1	2	1	-1	2	2	2	43	5	2	3	-1	1	1	-1	1	1	-1	1	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	50105	13	5010513	501051301	-1
5	101	110	110	2	2	-1	2	2	2	16	1	2	1	1	-1	5	-1	5	1	-1	1	9	9	0	-1	-1	-1	-1	-1	-1	-1	-1	50105	13	5010513	501051302	50105132
5	101	110	110	1	1	1	-1	3	2	52	2	-1	2	-1	-1	1	-1	1	1	-1	1	1	0	1	4	-1	-1	-1	-1	-1	-1	-1	50105	14	5010514	501051401	50105141
5	101	110	-1	1	2	1	-1	3	1	58	2	-1	3	-1	1	1	-1	1	1	-1	1	0	1	0	4	-1	-1	-1	-1	-1	-1	-1	50105	14	5010514	501051402	-1
5	101	110	-1	1	3	1	-1	3	2	22	1	2	2	-1	-1	1	-1	1	1	-1	1	9	9	9	0	-1	-1	-1	-1	-1	-1	-1	50105	14	5010514	501051403	-1
5	101	110	110	1	1	1	-1	1	1	61	5	-1	2	-1	-1	5	-1	5	1	-1	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	50105	16	5010516	501051601	50105161
5	101	110	-1	1	1	2	-1	2	2	82	2	-1	3	-1	2	1	-1	1	1	-1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	50106	1	5010601	501060101	-1
5	101	110	110	1	2	2	-1	2	1	85	2	-1	3	-1	2	1	-1	1	1	-1	1	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	50106	1	5010601	501060102	50106011
5	101	110	-1	1	1	3	2	4	1	51	1	1	2	-1	-1	1	-1	1	1	-1	1	0	0	7	3	7	-1	-1	-1	-1	-1	-1	50106	18	5010618	501061801	-1
5	101	110	110	1	2	3	2	4	2	18	1	2	1	1	-1	1	-1	1	1	-1	1	12	12	0	9	14	-1	-1	-1	-1	-1	-1	50106	18	5010618	501061802	50106182
5	101	110	110	1	3	3	2	4	2	44	5	1	2	-1	-1	1	-1	1	1	-1	1	3	3	4	0	4	-1	-1	-1	-1	-1	-1	50106	18	5010618	501061803	50106181
5	101	110	-1	1	4	3	2	4	2	15	-1	-1	1	-1	-1	1	-1	1	1	-1	1	12	12	14	9	0	-1	-1	-1	-1	-1	-1	50106	18	5010618	501061804	-1
5	101	110	110	1	1	1	-1	1	2	85	6	-1	3	-1	2	5	-1	5	1	-1	1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	50106	24	5010624	501062401	50106241
5	101	110	110	1	1	1	2	2	2	53	5	2	2	-1	-1	1	-1	1	1	-1	1	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	50107	1	5010701	501070101	50107011
5	101	110	110	1	2	1	2	2	1	13	-1	-1	1	-1	-1	1	-1	1	1	-1	1	9	9	0	-1	-1	-1	-1	-1	-1	-1	-1	50107	1	5010701	501070102	50107012
5	101	110	-1	2	1	-1	3	3	2	40	5	2	2	-1	-1	5	-1	5	9	-1	9	0	0	4	4	-1	-1	-1	-1	-1	-1	-1	50107	2	5010702	501070201	-1
5	101	110	-1	2	2	-1	3	3	1	17	1	2	1	1	-1	5	-1	5	9	-1	9	9	9	0	14	-1	-1	-1	-1	-1	-1	-1	50107	2	5010702	501070202	-1
5	101	110	110	2	3	-1	3	3	2	15	-1	-1	1	-1	-1	5	-1	5	9	-1	9	9	9	14	0	-1	-1	-1	-1	-1	-1	-1	50107	2	5010702	501070203	50107022
5	101	110	-1	1	1	2	4	4	1	46	2	-1	2	-1	-1	6	-1	6	2	-1	2	0	0	1	4	4	-1	-1	-1	-1	-1	-1	50107	4	5010704	501070401	-1
5	101	110	110	1	2	2	4	4	2	42	2	-1	2	-1	-1	1	-1	1	1	-1	1	1	1	0	4	4	-1	-1	-1	-1	-1	-1	50107	4	5010704	501070402	50107041
5	101	110	-1	1	3	2	4	4	1	10	-1	-1	1	-1	-1	1	-1	1	1	-1	1	9	9	9	0	14	-1	-1	-1	-1	-1	-1	50107	4	5010704	501070403	-1
5	101	110	110	1	4	2	4	4	1	12	-1	-1	1	-1	-1	1	-1	1	1	-1	1	9	9	9	14	0	-1	-1	-1	-1	-1	-1	50107	4	5010704	501070404	50107042
5	101	110	-1	2	1	-1	2	3	2	42	4	2	2	-1	-1	1	-1	1	1	-1	1	0	0	4	4	-1	-1	-1	-1	-1	-1	-1	50107	8	5010708	501070801	-1
5	101	110	110	2	2	-1	2	3	1	18	1	2	1	2	2	1	-1	1	1	-1	1	9	9	0	14	-1	-1	-1	-1	-1	-1	-1	50107	8	5010708	501070802	50107082
5	101	110	-1	2	3	-1	2	3	2	15	-1	-1	1	-1	-1	1	-1	1	1	-1	1	9	9	14	0	-1	-1	-1	-1	-1	-1	-1	50107	8	5010708	501070803	-1
5	101	110	-1	2	1	-1	3	3	2	50	2	-1	2	-1	-1	1	-1	1	1	-1	1	1	0	1	4	-1	-1	-1	-1	-1	-1	-1	50107	9	5010709	501070901	-1
5	101	110	-1	2	2	-1	3	3	1	48	2	-1	2	-1	-1	5	-1	5	1	-1	1	0	1	0	4	-1	-1	-1	-1	-1	-1	-1	50107	9	5010709	501070902	-1
5	101	110	110	2	3	-1	3	3	2	17	1	2	1	1	-1	5	-1	5	1	-1	1	9	9	9	0	-1	-1	-1	-1	-1	-1	-1	50107	9	5010709	501070903	50107092
5	101	110	110	1	1	1	-1	2	2	64	2	-1	3	-1	1	5	-1	5	1	-1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	50107	10	5010710	501071001	50107101
5	101	110	-1	1	2	1	-1	2	1	67	2	-1	3	-1	1	1	-1	1	1	-1	1	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	50107	10	5010710	501071002	-1
5	101	110	-1	2	1	-1	3	4	2	43	2	-1	2	-1	-1	1	-1	1	1	-1	1	1	0	1	4	4	-1	-1	-1	-1	-1	-1	50107	11	5010711	501071101	-1
5	101	110	-1	2	2	-1	3	4	1	46	2	-1	2	-1	-1	1	-1	1	1	-1	1	0	1	0	7	7	-1	-1	-1	-1	-1	-1	50107	11	5010711	501071102	-1
5	101	110	110	2	3	-1	3	4	1	17	1	2	2	-1	-1	1	-1	1	1	-1	1	12	9	12	0	14	-1	-1	-1	-1	-1	-1	50107	11	5010711	501071103	50107112
5	101	110	-1	2	4	-1	3	4	1	21	1	2	3	-1	2	1	-1	1	1	-1	1	12	9	12	14	0	-1	-1	-1	-1	-1	-1	50107	11	5010711	501071104	-1
5	101	110	110	1	1	1	-1	2	2	78	5	1	3	-1	1	1	-1	1	1	-1	1	0	0	3	-1	-1	-1	-1	-1	-1	-1	-1	50107	14	5010714	501071401	50107141
5	101	110	-1	1	2	1	-1	2	1	74	5	1	3	-1	1	1	-1	1	1	-1	1	3	3	0	-1	-1	-1	-1	-1	-1	-1	-1	50107	14	5010714	501071402	-1
5	101	110	-1	2	1	-1	3	4	2	39	1	1	2	-1	-1	5	-1	5	1	-1	1	3	0	3	4	4	-1	-1	-1	-1	-1	-1	50107	17	5010717	501071701	-1
5	101	110	-1	2	2	-1	3	4	1	26	1	1	2	-1	-1	5	-1	5	1	-1	1	0	3	0	7	4	-1	-1	-1	-1	-1	-1	50107	17	5010717	501071702	-1
5	101	110	110	2	3	-1	3	4	2	9	-1	-1	1	-1	-1	5	-1	5	1	-1	1	12	9	12	0	15	-1	-1	-1	-1	-1	-1	50107	17	5010717	501071703	50107172
5	101	110	-1	2	4	-1	3	4	1	2	-1	-1	3	-1	-1	5	-1	5	1	-1	1	9	9	9	15	0	-1	-1	-1	-1	-1	-1	50107	17	5010717	501071704	-1
5	101	110	-1	2	1	-1	4	4	1	23	1	1	2	-1	-1	6	-1	6	4	-1	4	0	0	3	4	4	-1	-1	-1	-1	-1	-1	50107	20	5010720	501072001	-1
5	101	110	-1	2	2	-1	4	4	2	21	1	1	2	-1	-1	6	-1	6	4	-1	4	3	3	0	4	4	-1	-1	-1	-1	-1	-1	50107	20	5010720	501072002	-1
5	101	110	-1	2	3	-1	4	4	1	2	-1	-1	3	-1	-1	6	-1	6	4	-1	4	9	9	9	0	14	-1	-1	-1	-1	-1	-1	50107	20	5010720	501072003	-1
5	101	110	110	2	4	-1	4	4	2	1	-1	-1	3	-1	-1	6	-1	6	4	-1	4	9	9	9	14	0	-1	-1	-1	-1	-1	-1	50107	20	5010720	501072004	50107202
5	101	110	-1	2	1	-1	2	5	2	38	2	-1	3	-1	1	1	-1	1	1	-1	1	1	0	7	7	7	1	-1	-1	-1	-1	-1	50107	27	5010727	501072701	-1
5	101	110	110	2	2	-1	2	5	1	11	-1	-1	1	-1	-1	1	-1	1	1	-1	1	9	12	0	14	14	9	-1	-1	-1	-1	-1	50107	27	5010727	501072702	50107272
5	101	110	-1	2	3	-1	2	5	1	12	-1	-1	1	-1	-1	1	-1	1	1	-1	1	9	12	14	0	14	9	-1	-1	-1	-1	-1	50107	27	5010727	501072703	-1
5	101	110	-1	2	4	-1	2	5	1	14	-1	-1	1	-1	-1	1	-1	1	1	-1	1	9	12	14	14	0	9	-1	-1	-1	-1	-1	50107	27	5010727	501072704	-1
5	101	110	-1	2	5	-1	2	5	1	40	2	-1	2	-1	-1	1	-1	1	1	-1	1	0	1	4	4	4	0	-1	-1	-1	-1	-1	50107	27	5010727	501072705	-1
5	101	110	110	1	1	1	-1	2	1	63	2	-1	3	-1	1	6	-1	6	9	-1	9	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	50108	1	5010801	501080101	50108011
5	101	110	-1	1	2	1	-1	2	2	58	2	-1	3	-1	2	6	-1	6	10	-1	10	1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	50108	1	5010801	501080102	-1
5	101	110	110	1	1	1	2	2	2	45	4	2	1	1	-1	6	-1	6	13	-1	13	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	50108	4	5010804	501080401	50108041
5	101	110	110	1	2	1	2	2	1	8	-1	-1	1	-1	-1	5	-1	5	5	-1	5	9	9	0	-1	-1	-1	-1	-1	-1	-1	-1	50108	4	5010804	501080402	50108042
5	101	110	110	1	1	1	-1	2	2	40	5	2	3	-1	2	5	-1	5	10	-1	10	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	50108	7	5010807	501080701	50108071
5	101	110	-1	1	2	1	-1	2	2	22	4	2	3	-1	1	5	-1	5	10	-1	10	9	9	0	-1	-1	-1	-1	-1	-1	-1	-1	50108	7	5010807	501080702	-1
5	101	110	-1	2	1	-1	3	6	2	35	2	-1	3	-1	1	5	-1	5	10	-1	10	1	0	1	4	4	4	4	-1	-1	-1	-1	50108	11	5010811	501081101	-1
5	101	110	-1	2	2	-1	3	6	1	43	2	-1	2	-1	-1	5	-1	5	10	-1	10	0	1	0	4	4	4	4	-1	-1	-1	-1	50108	11	5010811	501081102	-1
5	101	110	110	2	3	-1	3	6	1	11	-1	-1	1	-1	-1	5	-1	5	10	-1	10	9	9	9	0	14	14	14	-1	-1	-1	-1	50108	11	5010811	501081103	50108112
5	101	110	-1	2	4	-1	3	6	2	8	-1	-1	1	-1	-1	5	-1	5	10	-1	10	9	9	9	14	0	14	14	-1	-1	-1	-1	50108	11	5010811	501081104	-1
5	101	110	-1	2	5	-1	3	6	1	5	-1	-1	1	-1	-1	5	-1	5	10	-1	10	9	9	9	14	14	0	14	-1	-1	-1	-1	50108	11	5010811	501081105	-1
5	101	110	-1	2	6	-1	3	6	1	2	-1	-1	3	-1	-1	5	-1	5	10	-1	10	9	9	9	14	14	14	0	-1	-1	-1	-1	50108	11	5010811	501081106	-1
5	101	110	110	1	1	1	2	5	2	29	4	2	3	-1	2	5	-1	5	10	-1	10	0	0	4	4	4	14	-1	-1	-1	-1	-1	50108	14	5010814	501081401	50108141
5	101	110	110	1	2	1	2	5	1	8	-1	-1	1	-1	-1	5	-1	5	10	-1	10	9	9	0	16	14	22	-1	-1	-1	-1	-1	50108	14	5010814	501081402	50108142
5	101	110	-1	1	3	1	2	5	2	7	-1	-1	1	-1	-1	5	-1	5	10	-1	10	9	9	16	0	14	22	-1	-1	-1	-1	-1	50108	14	5010814	501081403	-1
5	101	110	-1	1	4	1	2	5	2	5	-1	-1	1	-1	-1	5	-1	5	10	-1	10	9	9	14	14	0	22	-1	-1	-1	-1	-1	50108	14	5010814	501081404	-1
5	101	110	-1	1	5	1	2	5	2	16	1	2	1	2	2	5	-1	5	10	-1	10	14	14	22	22	22	0	-1	-1	-1	-1	-1	50108	14	5010814	501081405	-1
5	101	110	110	1	1	1	2	2	2	48	5	2	2	-1	-1	5	-1	5	10	-1	10	0	0	4	-1	-1	-1	-1	-1	-1	-1	-1	50108	16	5010816	501081601	50108161
5	101	110	110	1	2	1	2	2	2	18	1	2	1	1	-1	5	-1	5	10	-1	10	9	9	0	-1	-1	-1	-1	-1	-1	-1	-1	50108	16	5010816	501081602	50108162
5	101	110	-1	2	1	-1	2	5	1	57	4	2	3	-1	1	5	-1	5	10	-1	10	9	0	4	4	9	4	-1	-1	-1	-1	-1	50108	22	5010822	501082201	-1
