"Title","RPI: Ave price - Chicken: roasting, ovn ready, frsh/chilld, Kg"
"CDID","CZOM"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Pence"
"Release date","21-06-2023"
"Next release","19 July 2023"
"Important notes",
"1967","39"
"1968","41"
"1969","43"
"1970","47"
"1971","47"
"1972","47"
"1973","57"
"1974","66"
"1975","76"
"1976","88"
"1977","106"
"1978","118"
"1979","135"
"1980","148"
"1981","154"
"1982","159"
"1983","164"
"1984","172"
"1985","176"
"1986","177"
"1987","181"
"1988","183"
"1989","194"
"1990","217"
"1991","230"
"1992","200"
"1993","210"
"1994","202"
"1995","203"
"1996","229"
"1997","240"
"1998","226"
"1999","220"
"2000","223"
"2001","227"
"2002","224"
"2003","228"
"2004","232"
"2005","230"
"2006","224"
"2007","227"
"2008","280"
"2009","290"
"2010","288"
"2011","313"
"2012","313"
"2013","330"
"2014","333"
"2015","313"
"2016","292"
"2017","282"
"2018","282"
"2019","275"
"2020","254"
"2021","271"
"2022","320"
"1971 Q1","45"
"1971 Q2","47"
"1971 Q3","47"
"1971 Q4","47"
"1972 Q1","47"
"1972 Q2","47"
"1972 Q3","47"
"1972 Q4","48"
"1973 Q1","52"
"1973 Q2","54"
"1973 Q3","57"
"1973 Q4","63"
"1974 Q1","65"
"1974 Q2","66"
"1974 Q3","65"
"1974 Q4","69"
"1975 Q1","72"
"1975 Q2","76"
"1975 Q3","78"
"1975 Q4","78"
"1976 Q1","80"
"1976 Q2","84"
"1976 Q3","90"
"1976 Q4","97"
"1977 Q1","102"
"1977 Q2","107"
"1977 Q3","108"
"1977 Q4","107"
"1978 Q1","108"
"1978 Q2","119"
"1978 Q3","122"
"1978 Q4","122"
"1979 Q1","127"
"1979 Q2","133"
"1979 Q3","140"
"1979 Q4","141"
"1980 Q1","143"
"1980 Q2","148"
"1980 Q3","150"
"1980 Q4","151"
"1981 Q1","153"
"1981 Q2","154"
"1981 Q3","154"
"1981 Q4","155"
"1982 Q1","156"
"1982 Q2","159"
"1982 Q3","160"
"1982 Q4","160"
"1983 Q1","162"
"1983 Q2","163"
"1983 Q3","165"
