DataSupplier ,UniqueProduct,RevisedMCS
NDNS,"FISHCAKES, SALMON, RETAIL, COATED IN BREADCRUMBS, BAKED/GRILLED",Salmon
NDNS,"FISHCAKES, WHITE FISH, COATED IN BREADCRUMBS BAKED/GRILLED",Fishcake
NDNS,FISHERMAN'S PIE (WHITE FISH) RETAIL,Fish pie
NDNS,FISHERMANS PIE REDUCED CALORIE AND FAT RETAIL,Fish pie
NDNS,FRESH TUNA STEAK GRILLED,Tuna
NDNS,HADDOCK BAKED OR GRILLED NO BUTTER,Haddock
NDNS,HADDOCK BAKED OR GRILLED WITH BUTTER,Haddock
NDNS,HADDOCK COATED IN BATTER FRIED IN BLEND VEG OIL,Haddock
NDNS,HADDOCK COATED IN BATTER FRIED IN BLENDED VEG OIL TAKEAWAY,Haddock
NDNS,HADDOCK COATED IN FLOUR FRIED IN BLENDED VEG OIL,Haddock
NDNS,HADDOCK FROZEN BREADCRUMBS FRIED BLENDED OIL,Haddock
NDNS,HADDOCK IN BATTER FRIED IN PUFA OIL,Haddock
NDNS,HADDOCK IN BATTER PURCHASED OVEN BAKED,Haddock
NDNS,HADDOCK IN BREADCRUMBS FRIED IN BLENDED VEG OIL,Haddock
NDNS,HADDOCK IN BREADCRUMBS FRIED IN PUFA OIL,Haddock
NDNS,HADDOCK IN BREADCRUMBS FROZEN GRILLED/BAKED,Haddock
NDNS,HADDOCK NO COATING FRIED IN BLENDED VEG OIL,Haddock
NDNS,HADDOCK NO COATING FRIED IN PUFA,Haddock
NDNS,HADDOCK POACHED IN MILK AND BUTTER,Haddock
NDNS,HADDOCK POACHED IN WHOLE MILK NO BUTTER,Haddock
NDNS,HADDOCK SMOKED BAKED OR GRILLED NO BUTTER,Haddock
NDNS,HADDOCK SMOKED BAKEDOR GRILLED WITH BUTTER,Haddock
NDNS,HADDOCK SMOKED POACHED IN MILK AND BUTTER,Haddock
NDNS,"HADDOCK SMOKED POACHED IN SEMI-SKIMMED MILK, NO BUTTER",Haddock
NDNS,HADDOCK SMOKED POACHED IN WATER,Haddock
NDNS,HADDOCK STEAMED NO BUTTER,Haddock
NDNS,HAKE GRILLED OR OVEN BAKED,Hake
NDNS,HALIBUT STEAMED,Halibut
NDNS,HERRING CANNED IN OIL FISH ONLY,Herring
NDNS,HERRING CANNED IN TOMATO SAUCE,Herring
NDNS,HERRING GRILLED NO BONES,Herring
NDNS,HERRING NO BONES COATED BLENDED,Herring
NDNS,HERRINGS PICKLED,Herring
NDNS,HOKI GRILLED,Hake
NDNS,KEDGEREE,Haddock
NDNS,KIPPER BAKED,Herring
NDNS,KIPPER BOIL IN BAG BOILED,Herring
NDNS,KIPPER BOIL IN BAG BOILED WITH BUTTER,Herring
NDNS,KIPPER NO BONES BAKED BUTTER,Herring
NDNS,LEMON SOLE FRIED IN OLIVE OIL,Lemon sole
NDNS,LEMON SOLE GRILLED NO ADDED FAT,Lemon sole
NDNS,LEMON SOLE IN BATTER (M&S) FRIED IN FLORA,Lemon sole
NDNS,LEMON SOLE STEAMED,Lemon sole
NDNS,LOBSTER BOILED FLESH ONLY,Lobster
NDNS,MACKEREL CANNED IN BRINE FISH ONLY,Mackerel
NDNS,"MACKEREL CANNED IN MUSTARD SAUCE, FISH AND SAUCE",Mackerel
NDNS,MACKEREL CANNED IN OIL FISH ONLY,Mackerel
NDNS,MACKEREL IN TOMATO SAUCE,Mackerel
NDNS,MACKEREL SMOKED CANNED IN OIL FISH ONLY,Mackerel
NDNS,MACKEREL SMOKED NOT CANNED,Mackerel
NDNS,MACKEREL UNSMOKED BAKED/GRILLED NO BONES NO BUTTER,Mackerel
NDNS,MACKEREL UNSMOKED CANNED FISH AND OIL,Mackerel
NDNS,MCDONALDS FILET O FISH (FISH IN A BUN),Fish dish
NDNS,"MONKFISH, GRILLED",Monk
NDNS,MUSSELLS CANNED BOTTLED NO SHELLS,Mussel 
NDNS,MUSSELS BOILED,Mussel 
NDNS,"MUSSELS IN WHITE WINE SAUCE, COOKED",Mussel 
NDNS,MUSSELS NOT CANNED NO SHELLS,Mussel 
NDNS,OYSTERS RAW,Oyster
NDNS,"PAELLA WITH CHICKEN, PRAWN AND CHORIZO PURCHASED",Fish dish
NDNS,PANGAS/RIVER COBBLER GRILLED OR BAKED,Pangasius
NDNS,PILCHARDS CANNED IN BRINE FISH ONLY,Pilchard
NDNS,PILCHARDS IN TOMATO SAUCE CANNED,Pilchard
NDNS,PLAICE BAKED GRILLED NO BUTTER NO BONES NO SKIN,Plaice
NDNS,PLAICE BAKED/GRILLED WITH BUTTER NO BONES/SKIN,Plaice
NDNS,PLAICE FROZEN BREADCRUMBS FRIED BLENDED OIL,Plaice
NDNS,PLAICE IN BATTER FRIED BLENDED,Plaice
NDNS,PLAICE IN BATTER FRIED IN COMMERCIAL BLENDED OIL,Plaice
NDNS,PLAICE IN BREADCRUMBS FROZEN GRILLED OR BAKED,Plaice
NDNS,PLAICE IN BREADCRUMBS FROZEN GRILLED OR BAKED NO F,Plaice
NDNS,PLAICE IN CRUMBS FRIED BLENDED,Plaice
NDNS,PLAICE NO BONES FLOUR BLENDED,Plaice
NDNS,PLAICE STEAMED,Plaice
NDNS,PLAICE WITH COOKING LOSSES,Plaice
NDNS,PRAWN BHUNA,Prawn
NDNS,PRAWN BIRYANI,Prawn
NDNS,PRAWN CHOW MEIN,Prawn
NDNS,PRAWN CURRY,Prawn
NDNS,PRAWN CURRY CREAM/COCONUT SAUC,Prawn
NDNS,PRAWN CURRY TAKEAWAY NO RICE,Prawn
NDNS,PRAWN CURRY WITH RICE READY MEAL EG ICELAND,Prawn
NDNS,PRAWN MAYONNAISE PURCHASED,Prawn
NDNS,PRAWN STIR-FRY IN OYSTER SAUCE,Prawn
NDNS,PRAWNS BOILED FLESH ONLY,Prawn
NDNS,PRAWNS CANNED DRAINED,Prawn
NDNS,PRAWNS WRAPPED IN FILO PASTRY,Prawn
NDNS,ROE COD HARD BATTER FRY COMM,"Caviar, livers and roes"
NDNS,SALMON EN CROUTE WITH SAUCE & PUFF PASTRY,Salmon
NDNS,SALMON FISHCAKES FRIED IN OLIVE OIL,Salmon
NDNS,SALMON FISHCAKES GRILLED,Salmon
NDNS,SALMON FISHCAKES RETAIL,Salmon
NDNS,SALMON FRIED IN VEGETABLE OIL,Salmon
NDNS,SALMON IN WATERCRESS SAUCE,Salmon
NDNS,SALMON MORNAY WITH BROCCOLI READY MEAL EG HEINZ WW,Salmon
NDNS,SALMON MOUSSE PURCHASED,Salmon
NDNS,SALMON OCEAN PIE E.G. YOUNGS,Salmon
NDNS,SALMON RED CANNED IN BRINE FISH AND BONES,Salmon
NDNS,SALMON RED CANNED IN BRINE FISH ONLY,Salmon
NDNS,SALMON SMOKED,Salmon
NDNS,SALMON STEAMED NO BONES,Salmon
NDNS,SALMON UNSPECIFIED CANNED IN BRINE FISH ONLY,Salmon
NDNS,SALMON UNSPECIFIED CANNED IN BRINE WITH BONES,Salmon
NDNS,"SALMON, GRILLED OR BAKED",Salmon
NDNS,"SALMON, PINK, CANNED IN BRINE FISH ONLY",Salmon
NDNS,"SALMON, RAW",Salmon
NDNS,"SALMON, RED, CANNED IN BRINE, NOT SKINLESS AND BONELESS",Salmon
NDNS,"SALMON, RED, CANNED IN BRINE, SKINLESS AND BONELESS",Salmon
NDNS,"SALMON, SMOKED, COLD SMOKED ONLY",Salmon
NDNS,SARDINES BRISLING SILD CANNED IN TOMATO SAUCE,Sardine
NDNS,"SARDINES BRISLING SLID CANNED IN OIL, FISH ONLY",Sardine
NDNS,SARDINES CANNED IN OIL FISH AND OIL,Sardine
NDNS,"SARDINES, CANNED, IN BRINE",Sardine
NDNS,"SARDINES, CANNED, IN SPRING WATER, FISH ONLY",Sardine
NDNS,"SARDINES, FRESH, GRILLED",Sardine
NDNS,SCALLOPS STEAMED,Scallop
NDNS,SCAMPI COATED FRIED BLENDED,Nephrops
NDNS,SCAMPI IN BREADCRUMBS FROZEN GRILLED OR OVEN BAKED,Nephrops
NDNS,SEA BASS BAKED OR GRILLED,Seabass
NDNS,"SEAFOOD (MUSSELS, KING PRAWNS AND CALAMARI) IN TOMATO SAUCE",Fish dish
NDNS,SEAFOOD COCKTAIL SANDWICH FILLER,Fish dish
NDNS,SEAFOOD PAELLA (NO RICE),Fish dish
NDNS,SEAFOOD PAELLA READY MEAL EG. M&S,Fish dish
NDNS,SEAFOOD TAGLIATELLE,Fish dish
NDNS,SHRIMPS BOILED FLESH ONLY,Shrimp
NDNS,SHRIMPS POTTED IN BUTTER,Shrimp
NDNS,SKATE GRILLED,Skate
NDNS,SKATE IN BATTER NOBONE BLENDED,Skate
NDNS,SMOKED MACKEREL FILLETS CANNED IN BRINE,Mackerel
NDNS,SMOKED MACKEREL PATE,Mackerel
NDNS,SMOKED SALMON PATE,Salmon
NDNS,SOLE IN CRUMBS FRIED BLENDED,Sole
NDNS,SPRATS FRIED IN BLENDED OIL,Sprat
NDNS,SPRATS FRIED IN PUFA OIL,Sprat
NDNS,SQUID BOILED,Squid
NDNS,SQUID COATED FRIED IN BELENDED VEGETABLE OIL,Squid
NDNS,SQUID DRIED,Squid
NDNS,SQUID FRIED IN BLENDED VEGETABLE OIL,Squid
NDNS,"SUSHI, SALMON BASED",Salmon
NDNS,"SUSHI, TUNA BASED",Tuna
NDNS,"SWORDFISH, GRILLED",Swordfish
NDNS,TARAMASALATA,Fish dish
NDNS,"TEMPURA (PRAWNS, SOLE, COLEY AND HADDOCK IN BATTER) FROM A RESTAURANT.",Fish dish
NDNS,TROUT SMOKED BAKED ETC NO BONES,Trout
NDNS,TROUT STEAMED FISH ONLY,Trout
NDNS,"TROUT, RAINBOW, BAKED",Trout
NDNS,TUNA & PASTA BAKE WITH SWEETCORN CHEESE & SAUCE,Tuna
NDNS,TUNA AND PASTA BAKE READY MEAL,Tuna
NDNS,TUNA AND RED PEPPER FISH CAKES EG WAITROSE,Tuna
NDNS,TUNA CANNED IN BRINE FISH ONLY,Tuna
NDNS,TUNA CANNED IN OIL FISH ONLY,Tuna
NDNS,TUNA CANNED IN OLIVE OIL FISH ONLY,Tuna
NDNS,TUNA CANNED IN SUNFLOWER OIL FISH ONLY,Tuna
NDNS,TUNA FRESH RAW,Tuna
NDNS,TUNA IN CORONATION STYLE DRESSING,Tuna
NDNS,TUNA IN OIL FISH AND OIL,Tuna
NDNS,TUNA MAYONNAISE HOMEMADE,Tuna
NDNS,TUNA MAYONNAISE SANDIWCH FILLERS,Tuna
NDNS,TUNA MAYONNAISE SANDWICH FILLERS,Tuna
NDNS,TUNA PASTA,Tuna
NDNS,TUNA PATE,Tuna
NDNS,TUNA TWIST IN MEDITERRANEAN TOMATO & HERB DRESSING (JOHN WEST),Tuna
NDNS,"TUNA, CANNED, IN SPRING WATER, FISH ONLY",Tuna
NDNS,"TUNA, FRESH, STEAK GRILLED/BAKED",Tuna
NDNS,VESTA PAELLA AS SERVED,Fish dish
NDNS,WHELKS BOILED,Whelk
NDNS,WHITE FISH IN CHEESE SAUCE,Fish dish
NDNS,WHITEBAIT COATED FRIED IN BLENDED OIL,Whitebait
NDNS,WHITING BAKED OR GRILLED NO BUTTER/BONES/SKIN,Whiting
NDNS,WHITING BREADCRUMBS FRIED BLEND VEG OIL NO BONES,Whiting
NDNS,WINKLES BOILED,Winkle
