DataSupplier ,UniqueProduct,RevisedMCS
NDNS,"ANCHOVIES, CANNED, FISH ONLY",Anchovy
NDNS,BIRDS EYE SEASIDE SHAPES,Fish dish
NDNS,"CALAMARI, COATED IN BATTER, BAKED",Squid
NDNS,CAVIAR,"Caviar, livers and roes"
NDNS,CHINESE FISH BALLS STEAMED,Fish dish
NDNS,CLAMS CANNED SEASONED,Clam
NDNS,COCKLES BOILED WITHOUT SHELLS,Cockle
NDNS,COCKLES CANNED BOTTLED NO SHELLS,Cockle
NDNS,COD BAKED OR GRILLED NO BUTTER,Cod
NDNS,COD BAKED OR GRILLED WITH OLIVE OIL,Cod
NDNS,COD BAKED WITH BUTTER,Cod
NDNS,COD COATED BREADCRUMBS FROZEN FRIED BLENDED VEG OI,Cod
NDNS,COD COATED IN FLOUR FRIED BLENDED VEG OIL,Cod
NDNS,COD COATED IN FLOUR FRIED IN OLIVE OIL,Cod
NDNS,COD DRIED SALTED BOILED,Cod
NDNS,COD FRIED IN PUFA NO COATING,Cod
NDNS,COD FROZEN IN PARSLEY SAUCE BOILED,Cod
NDNS,COD HADDOCK FRY BLENDED NOCOAT,Cod/ haddock
NDNS,COD HADDOCK FRY LARD NOCOATING,Cod/ haddock
NDNS,COD HADDOCK POACHED IN MILK,Cod/ haddock
NDNS,COD HADDOCK WITH LOSSES,Cod/ haddock
NDNS,COD IN BATTER FRIED IN COMMERCIAL OIL,Cod
NDNS,COD IN BATTER FRIED PUFA OIL,Cod
NDNS,COD IN BATTER FROZEN BAKED,Cod
NDNS,COD IN BATTER FRY BLENDED OIL,Cod
NDNS,COD IN BATTER FRY IN DRIPPING,Cod
NDNS,COD IN BREADCRUMBS FRIED PUFA,Cod
NDNS,COD IN BREADCRUMBS FRY BLENDED,Cod
NDNS,COD IN BREADCRUMBS GRILLED / OVEN BAKED,Cod
NDNS,COD POACHED IN WHOLE MILK NO FAT,Cod
NDNS,COD SMOKED STEAMED,Cod
NDNS,COD STEAMED,Cod
NDNS,"COD, MICROWAVED, FLESH ONLY",Cod
NDNS,"COD/HADDOCK COATED IN BREADCRUMBS, REDUCED FAT, GRILLED",Cod/ haddock
NDNS,COD/HADDOCK IN BATTER FRIED IN PALM OIL TK/AWAY,Cod/ haddock
NDNS,CODS ROES FRESH GRILLED,"Caviar, livers and roes"
NDNS,COLEY STEAMED; POACHED IN WATER,Coley
NDNS,CRAB BOILED,Crab
NDNS,CRAB CANNED,Crab
NDNS,CRABSTICKS,Crab
NDNS,CURRIED OILY FISH,Fish dish
NDNS,CURRIED WHITE FISH,Fish dish
NDNS,DOGFISH BATTERED NO BONES FRIED COMMERCIAL OIL,Dogfish
NDNS,EEL JELLIED,Eel
NDNS,EEL STEWED FLESH ONLY,Eel
NDNS,FISH AND SEAFOOD CHOWDER,Fish dish
NDNS,FISH CAKES IN BATTER GRILLED NO ADDED FAT,Fishcake
NDNS,FISH CURRY,Fish dish
NDNS,FISH CURRY WITH ONION GARLIC AND WHITE FISH,Fish dish
NDNS,FISH FINGERS COATED BATTER/BREADCRUMBS FRIED CCF,Fish dish
NDNS,FISH FINGERS ECONOMY BATTER/BREADCRUMB GRILLED,Fish dish
NDNS,FISH FINGERS ECONOMY BATTER/BREADCRUMB PUFA,Fish dish
NDNS,FISH FINGERS ECONOMY BATTER/BREADCRUMB VEG OIL,Fish dish
NDNS,FISH FINGERS FRIED IN BLENDED OIL,Fish fingers
NDNS,FISH FINGERS FRIED IN PUFA OIL,Fish fingers
NDNS,FISH FINGERS FRY BLENDED OIL,Fish fingers
NDNS,FISH FINGERS GRILLED,Fish fingers
NDNS,FISH FINGERS NOT ECONOMY FRIED IN OLIVE OIL,Fish fingers
NDNS,"FISH FINGERS, COD GRILLED/BAKED (NOT POLLOCK NOT SALMON)",Cod
NDNS,"FISH FINGERS, SALMON, GRILLED/BAKED (NOT COD, NOT POLLACK)",Salmon
NDNS,FISH IN SAUCE,Fish dish
NDNS,FISH PASTE NOT SMOKED MACKEREL OR SMOKED TROUT PATE,Fish dish
NDNS,FISH PIE,Fish pie
NDNS,FISH PIE 1 CRUST FLAKY PASTRY,Fish pie
NDNS,FISH PIE WITH WHITE FISH POTATOES AND SAUCE,Fish pie
NDNS,"FISH, WHITE, IN CHEESE AND SPINACH SAUCE, READY MEAL EG. SAINSBURY'S PLAICE FLORENTINE",Fish dish
NDNS,FISHCAKE BATTER FRY COMM OIL,Fishcake
NDNS,FISHCAKES BATTER FRY BLENDED,Fishcake
NDNS,FISHCAKES COATED IN BREADCRUMBS GRILLED,Fishcake
NDNS,FISHCAKES FRIED BLENDED OIL,Fishcake
NDNS,FISHCAKES FROZEN,Fishcake
